Bevacizumab or placebo RTOG 0825,Bevacizumab
Bevacizumab vs Placebo,Bevacizumab
Bevacizumiab/ versus Placebo,Bevacizumab
Bevacozimab,Bevacizumab
Bevcizumab,Bevacizumab
Bexarotene,Bexarotene
BI-2536,BI-2536
BIBW 2992,Afatinib
BIBW2992,Afatinib
Bicalutamid,Bicalutamide
Bicalutamide,Bicalutamide
BIX02189,BIX02189
bleomycin,Bleomycin
Bleomycin,Bleomycin
BLEOMYCIN,Bleomycin
Bleomycin (50 uM),NOS
BMS-345541,BMS-345541
BMS-509744,BMS-509744
BMS-536924,BMS-536924
BMS-754807,BMS-754807
Bortezomib,Bortezomib
Bosutinib,Bosutinib
BRAF inhibitor,Vemurafenib
Brivanib,Brivanib
Bromo deoxyuridine,Bromodeoxyuridine
Bryostatin 1,Bryostatin 1
BS1-201,Iniparib
BSI-201,Iniparib
BX796,BX796
BX-912,BX-912
C1 FOLFIRI/Zaltrap,Leucovorin+Fluorouracil+Irinotecan+Aflibercept
cabazitaxel,Cabazitaxel
Cabazitaxel,Cabazitaxel
Cabozantinib,Cabozantinib
CAI (NABTT 9712),CAI NABIT 9712
CAI (NABTT 97212),CAI NABIT 9712
CAI NABIT 9712,CAI NABIT 9712
Calcium Foliatum,Leucovorin
"Calcium Foliatum, fluorouracilum, oxaliplatinum, dexamethassone",Leucovorin+Oxaliplatin+Fluorouracil+Dexamethasone
camptosar,Irinotecan
Camptosar,Irinotecan
Camptothecin,Camptothecin
Cancer Vax,Polyvalent Melanoma Vaccine
Capecetabine,Capecitabine
Capecitabin,Capecitabine
capecitabine,Capecitabine
Capecitabine,Capecitabine
CAPECITABINE,Capecitabine
Capecitabine -xeloda,Capecitabine
Capecytabinum,Capecitabine
Carbo,Carboplatin
Carbobplatin,Carboplatin
carbopaltin,Carboplatin
carboplatin,Carboplatin
Carboplatin,Carboplatin
CARBOplatin,Carboplatin
CARBOPLATIN,Carboplatin
Carboplatin #1,Carboplatin
Carboplatin & Paclitaxel,Carboplatin
Carboplatin 5 AUC,Carboplatin
Carboplatin 6th,Carboplatin
Carboplatin and Paclitaxel,Carboplatin+Paclitaxel
Carboplatin Paclitaxel,Carboplatin+Paclitaxel
"Carboplatin, Taxol",Carboplatin+Paclitaxel
Carboplatin/Paclitaxel,Carboplatin+Paclitaxel
Carboplatin/Paclitaxel/Bevacizumab,Carboplatin+Paclitaxel+Bevacizumab
Carboplatin_Paclitaxel,Carboplatin+Paclitaxel
carboplatinum,Carboplatin
Carboplatinum,Carboplatin
CarboPlatinum,Carboplatin
Carboxy amido triazole,Carboxyamidotriazole
Carbplatin,Carboplatin
Carmustin,Carmustine
Carmustine,Carmustine
Carmustine (BCNU),Carmustine
Carmustine BCNU,Carmustine
casodex,Bicalutamide
Casodex,Bicalutamide
Catumaxumab,Catumaxomab
CAV Trial,Cyclophosphamide+Dactinomycin+Vincristine
CAY10603,CAY10603
CBP501,CBP501
CCDP,Cisplatin
CCNG,NOS
CCNu,Lomustine
CCNU,Lomustine
CCT007093,CCT007093
CCT-018159,CCT-018159
CDDP,Cisplatin
CDR0000654697,NOS
Cedicanib,Cediranib
Cediranib,Cediranib
Cediranib Placebo,Cediranib
Cediranib/Placebo,Cediranib
CeeNU,Lomustine
Celbrex,Celecoxib
Celebrex,Celecoxib
CEP 11981,CEP-11981
Cepecitabine,Capecitabine
cetuximab,Cetuximab
Cetuximab,Cetuximab
CETUXimab,Cetuximab
Cetuximab Study drug,Cetuximab
CGP-082996,CGP-082996
CGP-60474,CGP-60474
ch81c6,81C6
"Chemo, Multi-Agent, NOS",NOS
"Chemo, NOS",NOS
CHIR-99021,CHIR-99021
Chlorambucil,Chlorambucil
Chloroquine,Chloroquine
CHOP,Cyclophosphamide+Doxorubicin+Vincristine+Prednisone
CI 980,CI-980
CI-1040,CI-1040
CI980,CI-980
CI-980,CI-980
ciclofosfamida,Cyclophosphamide
Ciclosporin,Cyclosporine
Cilenaitide,Cilengitide
Cilengitide,Cilengitide
Cilengtide,Cilengitide
Ciplastin,Cisplatin
cis retinoic acid,Isotretinoin
Cis Retinoic Acid,Isotretinoin
CIS Retinoic Acid,Isotretinoin
Cisplatain,Cisplatin
cisplatim,Cisplatin
cisplatin,Cisplatin
Cisplatin,Cisplatin
CISPLATIN,Cisplatin
Cisplatin #2-7,Cisplatin
"Cisplatin, pemetrexed",Cisplatin+Pemetrexed
Cisplatin/Etoposide,Cisplatin+Etoposide
Cisplatin/Gemzar,Cisplatin+Gemcitabine
cisplatinum,Cisplatin
Cisplatinum,Cisplatin
CISplatinum,Cisplatin
CISPLATINUM,Cisplatin
Cisplatin-xrt,Cisplatin
Cisplatnin,Cisplatin
cis-retinoic acid,Isotretinoin
Cis-retinoic acid,Isotretinoin
Clinical trial,NOS
Clinical Trial,NOS
Clinical Trial-Study Agent,NOS
clodronate,Clodronate
Clodronate,Clodronate
clodronic acid,Clodronate
Cloretazine,Laromustine
CMK,CMK
Copolang,Cyclophosphamide+Polysaccharide-K
COPOLANG CAPS,Cyclophosphamide+Polysaccharide-K
CP466722,CP466722
CP724714,CP724714
CPT 11,Irinotecan
CPT11,Irinotecan
cpt-11,Irinotecan
CPT-11,Irinotecan
CRA,Isotretinoin
Crizotinib,Crizotinib
CT2103 Taxane Analog,Paclitaxel
CUDC-101,CUDC-101
CVAD,Cyclophosphamide+Vincristine+Doxorubicin+Dexamethasone
CX-5461,CX-5461
CYC-116/Cyclocel,Cyclophosphamide+CYC116
Cyclopamine,Cyclopamine
Cyclophasphamide,Cyclophosphamide
Cyclophospamide,Cyclophosphamide
cyclophosphamid,Cyclophosphamide
cyclophosphamide,Cyclophosphamide
Cyclophosphamide,Cyclophosphamide
CYCLOPHOSPHAMIDE,Cyclophosphamide
"cyclophosphamide, vincristine, and dacarbazine",Cyclophosphamide+Vincristine+Dacarbazine
cyclophosphamide+methotrexatum+fluorouracillum,Cyclophosphamide+Fluorouracil+Methotrexate
cyclophosphamidum,Cyclophosphamide
Cyclophosphane,Cyclophosphamide
Cyotxan,Cyclophosphamide
cytarabine,Cytarabine
CYTARABINE,Cytarabine
Cytarabine,Cytarabine
cytomel,Liothyronine
Cytomel,Liothyronine
cytoxan,Cyclophosphamide
Cytoxan,Cyclophosphamide
CYTOXAN,Cyclophosphamide
Cytoxan and Taxotere,Cyclophosphamide+Docetaxel
"Cytoxan, vincristine and dacarbazine",Cyclophosphamide+Vincristine+Dacarbazine
Cytoxen,Cyclophosphamide
Cytoxin,Cyclophosphamide
Dabrafenib,Dabrafenib
Dacabarzine,Dacarbazine
dacarbazine,Dacarbazine
Dacarbazine,Dacarbazine
Dacarbazine (DTIC),Dacarbazine
Dacinostat,Dacinostat
Daclizumab,Daclizumab
Dactolisib,Dactolisib
Daporinad,Daporinad
dasatinib,Dasatinib
Dasatinib,Dasatinib
dc Vax (Dendritic Cell Vaccine),Dendritic cell vaccine
dcVax,Dendritic cell vaccine
decadron,Dexamethasone
Decodron,Dexamethasone
degarelix,Degarelix
Dendritic Cell Vaccine (dcvax),Dendritic cell vaccine
Dendriticcell Vaccine,Dendritic cell vaccine
Denosumab,Denosumab
Dexaethasone,Dexamethasone
Dexamethasome,Dexamethasone
dexamethasone,Dexamethasone
Dexamethasone,Dexamethasone
DEXAMETHASONE,Dexamethasone
Dexamethasone phosphate,Dexamethasone
Dexamethazone,Dexamethasone
Dexamethsone,Dexamethasone
Dexamthasone,Dexamethasone
Dexmethasone,Dexamethasone
Didox,Didox
Diphencyprone,Diphencyprone
DMOG,DMOG
docetaxel,Docetaxel
Docetaxel,Docetaxel
DOCETAXEL,Docetaxel
Docetaxel +/- Zactima,Docetaxel+Vandetanib
Docetaxelum,Docetaxel
Docetoxel/Taxotere,Docetaxel
Doramapimod,Doramapimod
Doxetaxel,Docetaxel
Doxetaxol,Docetaxel
Doxifluridin,Doxifluridine
Doxifluridine,Doxifluridine
doxil,Doxorubicin
Doxil,Doxorubicin
Doxil & Carboplatin,Doxorubicin+Carboplatin
Doxirubicin,Doxorubicin
Doxobubicin,Doxorubicin
doxorubicin,Doxorubicin
Doxorubicin,Doxorubicin
DOXORUBICIN,Doxorubicin
Doxorubicin HCI Liiposomal,Doxorubicin
Doxorubicin HCI Lipsome,Doxorubicin
doxorubicin HCL,Doxorubicin
Doxorubicin HCL,Doxorubicin
Doxorubicin HCl Liposomal,Doxorubicin
Doxorubicin HCL Liposomal,Doxorubicin
Doxorubicin HCL Liposomal -Doxil,Doxorubicin
Doxorubicin Liposome,Doxorubicin
doxorubicin+ cyclophosphamide,Doxorubicin+Cyclophosphamide
doxorubicin+cyclophosphamid,Doxorubicin+Cyclophosphamide
doxorubicina,Doxorubicin
doxorubicine,Doxorubicin
doxorubicine cyclophosphamide tamoxifen,Doxorubicin+Cyclophosphamide+Tamoxifen
doxorubicine+cyclophosphamide,Doxorubicin+Cyclophosphamide
doxorubicine+cyclophosphamide+tamoxifen,Doxorubicin+Cyclophosphamide+Tamoxifen
Doxorubicinum,Doxorubicin
Doxorubincin HCL,Doxorubicin
DS-8273a,DS-8273a
DTIC,Dacarbazine
"DTIC, Dacarbazine",Dacarbazine
E-75,Nelipepimut-S
EHT-1864,EHT-1864
Elesclomol,Elesclomol
Eligard,Leuprolide
Eloxatin,Oxaliplatin
Eloxatin(oxaliplatin),Oxaliplatin
Embelin,Embelin
EMD,NOS
Enoticumab,REGN421
Entinostat,Entinostat
Enzastaurin,Enzastaurin
epirubicin,Epirubicin
Epirubicin,Epirubicin
epirubicinum,Epirubicin
Epirubicoin,Epirubicin
EPOCH,Etoposide+Prednisone+Vincristine+Doxorubicin
Epothilone B,Patupilone
erbitux,Cetuximab
Erbitux,Cetuximab
ERBITUX,Cetuximab
Eribulin,Eribulin
Erlotinib,Erlotinib
Erlotinib (Tarceva),Erlotinib
Erlotonib,Erlotinib
Erythropoietin,Epoetin
Estramustine,Estramustine
ET-743,Trabectedin
ETC Posidum,Etoposide
Etoposid,Etoposide
etoposide,Etoposide
Etoposide,Etoposide
ETOPOSIDE,Etoposide
Etoposide (VP16),Etoposide
etoposide (VP-16),Etoposide
Etoposide phosphate,Etoposide
Etopside,Etoposide
everolimus,Everolimus
Everolimus,Everolimus
EVERolimus,Everolimus
"Everolimus, Gemcitabine, and Cisplatin",Everolimus+Gemcitabine+Cisplatin
Exemestane,Exemestane
EXEMESTANE,Exemestane
EXEMESTANE (AROMASIN),Exemestane
EZN-2968,EZN-2968
Fareston,Toremifene
faslodex,Fulvestrant
Faslodex,Fulvestrant
Fedratinib,Fedratinib
femara,Letrozole
Femara,Letrozole
FEMARA,Letrozole
Femara (Letrozole),Letrozole
Fenretinide,Fenretinide
FH535,FH535
Filgrastim (G-CSF),Filgrastim
Firmagon,Degarelix
FLC,NOS
FLOUROURACIL,Fluorouracil
Floxuridine,Fluorouracil
fluorouracil,Fluorouracil
Fluorouracil,Fluorouracil
FLUOROURACIL,Fluorouracil
Fluorouracil (5-FU),Fluorouracil
Fluorouracil IV Continuous infusion over 46 hours,Fluorouracil
fluorouracilum,Fluorouracil
Fluorouracilum,Fluorouracil
Fluoruracil,Fluorouracil
FMK,FMK
Folfiri,Leucovorin+Fluorouracil+Irinotecan
FOLFIRI,Leucovorin+Fluorouracil+Irinotecan
FOLFIRI/Avastin,Leucovorin+Fluorouracil+Irinotecan+Bevacizumab
Folfox,Leucovorin+Fluorouracil+Oxaliplatin
FolFox,Leucovorin+Fluorouracil+Oxaliplatin
FOLFOX,Leucovorin+Fluorouracil+Oxaliplatin
folinic acid,Leucovorin
Folinic acid,Leucovorin
Folinic Acid,Leucovorin
fosaprepitant,Fosaprepitant
fotemustine,Fotemustine
Fotemustine,Fotemustine
FR-180204,FR-180204
FT,NOS
FTI-277,FTI-277
FU7,NOS
FUDR (Floxuridine),Floxuridine
Fuluestrant,Fulvestrant
fulvestrant,Fulvestrant
Fulvestrant,Fulvestrant
FULVESTRANT,Fulvestrant
Fulvestrant (Faslodex),Fulvestrant
Gaminocamptothecin,Aminocamptothecin
Gamzar,Gemcitabine
GDC-0449,Vismodegib
GDC-0980,GDC-0980
Gefitinib,Gefitinib
Gemar,Gemcitabine
gemcitabine,Gemcitabine
Gemcitabine,Gemcitabine
GEMCITABINE,Gemcitabine
Gemcitabine (Gemzar),Gemcitabine
Gemcitabine and Cisplatin,Cisplatin+Gemcitabine
Gemcitabine HCI,Gemcitabine
gemcitabine HCL,Gemcitabine
Gemcitabine HCL,Gemcitabine
Gemcitabine Injection,Gemcitabine
Gemcitibane,Gemcitabine
Gemcitibine,Gemcitabine
Gemicitabine,Gemcitabine
GEMICTIABINE,Gemcitabine
Gemox,Gemcitabine+Oxaliplatin
Gemzan,Gemcitabine
gemzar,Gemcitabine
Gemzar,Gemcitabine
GEMZAR,Gemcitabine
Gemzar (Gemcitabine),Gemcitabine
Gemzet,Gemcitabine
Genentech Cpd 10,Genentech Cpd 10
Gezmar,Gemcitabine
Gleevac,Imatinib
Gleevec,Imatinib
Gliadel,Carmustine
Gliadel BCNU,Carmustine
Gliadel wafer,Carmustine
Gliadel Wafer,Carmustine
Gliadel Wafer (BCNU),Carmustine
Gliadel wafer carmustine,Carmustine
Gliadel wafers,Carmustine
Gliadel Wafers,Carmustine
Gliadel Waters,Carmustine
Gliadle Wafer,Carmustine
GL-ONC1,GL-ONC1
GM-CSF,Sargramostim
GNF-2,GNF-2
GOG 218,GOG 218
GOG182,GOG 182
Gomzar,Gemcitabine
Goserelin,Goserelin
GP100,GP100
GP-100,GP100
GSK Braf Inhibitor,Dabrafenib
GSK1070916,GSK1070916
GSK1904529A,GSK1904529A
GSK269962A,GSK269962A
GSK319347A,GSK319347A
GSK429286A,GSK429286A
GSK650394,GSK650394
GSK690693,GSK690693
GW-2580,GW-2580
GW441756,GW441756
GW843682X,GW843682X
Halaven,Eribulin
Halichondrin,Halichondrin B
Halichondrin B,Halichondrin B
HEC.1 - Sorafenib vs Sorafenib plus Doxorubicin,HEC.1
herceptin,Trastuzumab
Herceptin,Trastuzumab
HERCEPTIN,Trastuzumab
Hexalen,Altretamine
Hexalin,Altretamine
Hexamethylmelamine,Altretamine
Hexamethymelamine,Altretamine
HG-5-113-01,HG-5-113-01
HG-5-88-01,HG-5-88-01
HG6-64-1,HG6-64-1
High dose ara-c,Cytarabine
High dose Methotrexate w/ Leucovorin,Methotrexate+Leucovorin
"Hormone, NOS",NOS
HSC vaccine injection,NOS
HSPPC-96 Vaccine,HSPPC-96
Hydoxyurea,Hydroxyurea
Hydrochoroquine,Hydroxychloroquine
Hydrocortisone,Hydrocortisone
Hydroxurea,Hydroxyurea
Hydroxydaunomycin,Doxorubicin
Hydroxyuerea,Hydroxyurea
Hydroxyurea,Hydroxyurea
Hydroyurea,Hydroxyurea
Hyrdroxyurea,Hydroxyurea
Hyroxyurea,Hydroxyurea
I 131 81C6,81C6
I131-81C6,81C6
Ibandronate,Ibandronate
I-BET-762,I-BET-762
ICE,Ifosfamide+Carboplatin+Etoposide
ICT-107,ICT-107
Idelalisib,Idelalisib
Ifex,Ifosfamide
IFN-Alpha (Intron),Interferon A
Ifosfamid,Ifosfamide
ifosfamide,Ifosfamide
Ifosfamide,Ifosfamide
IFOSFAMIDE,Ifosfamide
Ifostamide,Ifosfamide
IL 12,Interleukin-12
IL 13,Cintredekin
IL 2,Aldesleukin
IL-13 Pseudomonas exotoxin,Cintredekin
IL-13 with Pseudomonas Exotoxin,Cintredekin
IL-13 with Pseudomonas exotoxin,Cintredekin
IL-13PE,Cintredekin
IL-13-PE38QQR Cytoxin,Cintredekin
IL-18,Interleukin-18
IL2,Aldesleukin
IL-2,Aldesleukin
IL-2 (high dose),Aldesleukin
IL-2 Therapy (interleukin),Aldesleukin
imatinib,Imatinib
Imatinib,Imatinib
IMC-A12,Cixutumumab
Imiquimod,Imiquimod
INF,Infliximab
interferon,NOS
Interferon,NOS
Interferon alfa,Interferon A
Interferon alfa-2b,Interferon A
interferon alpha,Interferon A
Interferon alpha,Interferon A
Interferon Alpha,Interferon A
Interferon gamma,Interferon G
Interferon-?2,Aldesleukin
Interferon-alfa,Interferon A
interferon-alpha,Interferon A
Interleukin - 2,Aldesleukin
Interleukin 2-high dose,Aldesleukin
Interleukin-12,Interleukin-12
interleukin-2,Aldesleukin
Interleukin-2,Aldesleukin
intrathecal methotrexate,Methotrexate
Intrathecal Methotrexate,Methotrexate
intron a,Interferon A
Intron A,Interferon A
Investigal drug Avastin,Bevacizumab
IOX2,IOX2
IPA-3,IPA-3
ipilimumab,Ipilimumab
Ipilimumab,Ipilimumab
Iressa,Gefitinib
IRESSA,Gefitinib
IRESSA placebo vs. drug,Gefitinib
irinotecan,Irinotecan
Irinotecan,Irinotecan
Irinotecan + Cetuximab,Irinotecan+Cetuximab
Irinotecan HCl,Irinotecan
Irinotecan HCL,Irinotecan
IRINOtecan HCl,Irinotecan
Irinotecan Hydrochloride,Irinotecan
IRINOTECAN+5-fluorouracilim,Irinotecan+Fluorouracil
Irintocean,Irinotecan
Irintotecan,Irinotecan
Irolfluvin,Irofulven
Ironotecan,Irinotecan
Irressa,Gefitinib
Isotrectinoin (acccutane),Isotretinoin
Isotretinoin,Isotretinoin
Ispinesib Mesylate,Ispinesib
Ixabepilone,Ixabepilone
IXABEPILONE,Ixabepilone
jevtana,Cabazitaxel
JNK Inhibitor VIII,JNK Inhibitor VIII
JNK-9L,JNK-9L
JQ1,JQ1
JQ12,JQ12
JW-7-24-1,JW-7-24-1
JW-7-52-1,JW-7-52-1
Karenitecin,Karenitecin
Karerltecin,Karenitecin
ketoconazole,Ketoconazole
Ketoconazole,Ketoconazole
KIN001-236,KIN001-236
KIN001-244,KIN001-244
KIN001-260,KIN001-260
KIN001-266,KIN001-266
KIN001-270,KIN001-270
KU-55933,KU-55933
Laferon,Interferon A
lapatinib,Lapatinib
Lapatinib,Lapatinib
Lenalidomide,Lenalidomide
Lestauritinib,Lestaurtinib
Letrozol,Letrozole
letrozole,Letrozole
Letrozole,Letrozole
LETROZOLE,Letrozole
Letrozole (Femara),Letrozole
LETROZOLE (FEMARA),Letrozole
letrozole femara,Letrozole
letrozolum,Letrozole
leucovorin,Leucovorin
Leucovorin,Leucovorin
LEUCOVORIN,Leucovorin
leucovorin calcium,Leucovorin
Leucovorin calcium,Leucovorin
Leucovorin Calcium,Leucovorin
Leukine,Sargramostim
Leuocvorin,Leucovorin
leuprolide,Leuprolide
Leuprolide,Leuprolide
Leuprolide acetate,Leuprolide
Leuprolide Acetate,Leuprolide
LEUPROLIDE ACETATE (LUPRON),Leuprolide
Leuprorelin,Leuprolide
Levcovorin,Leucovorin
Levenracetam,Levetiracetam
Levetiracetam,Levetiracetam
Levothroid,Levothyroxine
levothyroxine,Levothyroxine
Levothyroxine,Levothyroxine
levoxyl,Levothyroxine
Levoxyl,Levothyroxine
LFM-A13,LFM-A13
LHRH Agonist,LHRH
"LHRH Agonist and Anti-Androgens ""Combined Androgen Blockade""",LHRH
LHRH Agonist and Anti-Androgens Combined Androgen Blockade,LHRH
Linifanib,Linifanib
Linsitinib,Linsitinib
Liosomal Docorubicin,Doxorubicin
Liposomal Doxorubican,Doxorubicin
Liposomal doxorubicin,Doxorubicin
Liposomal Doxorubicin,Doxorubicin
Lomustin,Lomustine
lomustine,Lomustine
Lomustine,Lomustine
LOMUSTINE,Lomustine
Lomustine (CCNU),Lomustine
LOMUSTINE (CCNU),Lomustine
Lomustine CCNU,Lomustine
Luminespib,Luminespib
Lumustine,Lomustine
Luprolide Depot,Leuprolide
lupron,Leuprolide
Lupron,Leuprolide
LUPRON,Leuprolide
LY228820,LY228820
LY317615,Enzastaurin
Lymphocyte Infusion,NOS
MAB I 131,81C6
MAB I131,81C6
MAb I-131,81C6
MAB I-131,81C6
MABI131,81C6
Mage A3,MAGE-A3
MAGE-3,MAGE-3
MAGI131-81c6,81C6
Marimastat,Marimastat
Masitinib,Masitinib
Mayo 425-20,NOS
MDX-1106 clinical trial,Nivolumab
Medrol,Methylprednisolone
MEDT 575,MEDI-575
Megace,Megestrol
MEGACE,Megestrol
Megace (oral),Megestrol
Megestrol Acetate,Megestrol
MEL-44,Sargramostim
melphalan,Melphalan
Melphalan,Melphalan
Melphalon,Melphalan
Mesna,Mesna
MESNA,Mesna
MESNA-1,Mesna
MESNA-2,Mesna
Metexafin Gadolinium,Motexafin gadolinium
Metformin,Metformin
methotrexate,Methotrexate
Methotrexate,Methotrexate
METHOTREXATE,Methotrexate
methotrexate+5 fluorouracil+cyclophosphamide,Cyclophosphamide+Fluorouracil+Methotrexate
metilprednisona,Methylprednisolone
metotreksat,Methotrexate
Metronomic Temodar,Temozolomide
MG-132,MG-132
MGI 114,Irofulven
Mibefradil,Mibefradil
Micomycin,Mitomycin C
Midostaurin,Midostaurin
Mithramycin,Plicamycin
Mitomycin,Mitomycin C
Mitomycin C,Mitomycin C
Mitomycin-C,Mitomycin C
mitotane,Mitotane
Mitoxantrone,Mitoxantrone
MK2206,MK2206
MK-2206,MK-2206
MLN8237,Alisertib
MORAb-004,MORAb-004
Motesanib,Motesanib
Motexafin Gadolinium,Motexafin gadolinium
Motexatin Gadoinium,Motexafin gadolinium
MPS-1-IN-1,MPS-1-IN-1
MR1-1,MR1-1
mu81c6,81C6
MU81C6,81C6
Mustophoran,Fotemustine
nab-rapamycin,Rapamycin
navelbine,Vinorelbine
Navelbine,Vinorelbine
NAVELBINE,Vinorelbine
Navitoclax,Navitoclax
Naxavar,Sorafenib
neulasta,Pegfilgrastim
Neulasta,Pegfilgrastim
NEULASTA,Pegfilgrastim
Nexavaar,Sorafenib
Nexavar,Sorafenib
