REACTION,KCAT [1/hr],STEP
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
ACGALK,,
ACGALK2,,
ACGALtlg,,
ACGALtly,,
ACGAM6PSi,55980,3
ACGAMK,117,2
ACGAMPM,8514,9
ACGAMtly,,
ACGBGBSIDEtg,,
ACGBGBSIDEtl,,
ACGPID,64620.76586,20
ACGSm,792,6
ACHEe,19305360,6
ACHtn,,
ACHVESSEC,,
ACITL,2851353,18
ACN13ACNGALGBSIDEte,,
ACN13ACNGALGBSIDEtg,,
ACN23ACNGALGBSIDEte,,
ACN23ACNGALGBSIDEtg,,
ACNACNGAL14ACGLCGALGLUSIDEte,,
ACNACNGAL14ACGLCGALGLUSIDEtg,,
ACNACNGALGBSIDEte,,
ACNACNGALGBSIDEtg,,
ACNAM9PL,40950,5
ACNAM9PL2,40950,5
ACNAMlt,,
ACNAMPH,293618.2243,20
ACNAMtn,,
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,,
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,,
ACNMLr,18765.36,5
ACOAD10m,6372,6
ACOAD1fm,18862847.95,21
ACOAD8m,18862847.95,21
ACOAD9m,10440000,3
ACOAHi,26136,5
ACOAO7p,280800,6
ACODA,8172000,5
ACONTm,19080,5
ACOX22x,6420.587234,11
ACOX2x,6420,11
ACP1_FMN_,271728,8
ACRNtm,,
ACS2,11736.054,15
ACSm,2998260,6
ACSOMT,3492,14
ACSRTNMT,3492,14
ACt2m,,
ACt2r,,
ACtg,,
ACTLMO,,
ACTNMO,,
ADA,648000,2
ADAe,648000,2
ADCim,5616000,6
ADEt,,
ADEtl,,
ADHAPtx,,
ADK1m,3097800,1
ADK3,3031200,2
ADK3m,,
ADKd,3098083.955,8
ADMDC,1456.56,5
ADNCYC,4140126.72,5
ADNK1m,1800,2
ADNt,,
ADNt4,,
ADNtl,,
ADNtm,,
ADPGLC,32760,17
ADPMAN,28136.89421,20
ADPRDPm,57330,2
ADPRIBt,,
ADPtx,,
ADRNCOAtx,,
ADRNCPT1,29407.44076,20
ADRNCPT2,5225400,17
ADRNCRNt,,
ADRNLPVESSEC,,
ADRNt,,
ADSELK,10080,2
ADSK,10080,2
ADSL1,9960,5
ADSL2,10091.03932,11
AFLATOXINte,,
AG13T10g,1057.2,15
AG13T11g,1057.2,15
AG13T12g,1057.2,15
AG13T13g,1057.2,15
AG13T14g,1057.2,15
AG13T15g,1057.2,15
AG13T16g,1057.2,15
AG13T17g,1057.2,15
AG13T18g,1057.2,15
AG13T1g,1057.2,15
AG13T2g,1057.2,15
AG13T3g,1057.2,15
AG13T4g,1057.2,15
AG13T5g,1057.2,15
AG13T6g,1057.2,15
AG13T7g,1057.2,15
AG13T8g,1057.2,15
AG13T9g,1057.2,15
AGLPC,232202.4009,12
AGLPED,,
AGLPET,,
AGLPH,,
AGLPR,,
AGLPT,,
AGMTm,10800,3
AGPAT1,28785.38053,20
AGPex,,
AGPRim,817380,17
AGPSx,117424.1438,20
AGTim,108176.4,2
AGTix,108176.4,2
AHANDROSTANGLCte,,
AHANDROSTANGLCtr,,
AHCYStn,,
AHCYStr,,
AHEXASE2ly,121429.8,11
AHEXASEly,121429.8,11
AIRCr,30600,20
AKGDm,5225400,17
AKGMALtm,,
AKGt4_3,,
AKGtp,,
AKR1C1,389.9198777,9
AKR1C41,226800,5
AKR1C42,226800,5
AKR1D,18744485.29,21
AKR1D2,18744485.29,21
ALAASNNaEx,,
ALACYSNaEx,,
ALADGLNexR,,
ALADGLYexR,,
ALAGLNexR,,
ALAGLNNaEx,,
ALAGLYexR,,
ALASERNaEx,,
ALASm,1086,5
ALAt2rL,,
ALAt4,,
ALATA_L,117997.7143,5
ALATHRNaEx,,
ALAtN1,,
ALCD21_D,2581.2,3
ALCD21_L,2581.2,3
ALCD22_D,34823.85882,14
ALCD22_L,8910,14
ALCD2if,615.6,2
ALCD2yf,32058,5
ALDD20x,2581.2,3
ALDD20xm,14076,17
ALDD21,,
ALDD2xm,8910,2
ALDD2y,134460,15
ALDSTRNte,,
ALDSTRNtm,,
ALKP,628671.1409,8
ALOX12,68040,2
ALOX12R,68040,2
ALOX15,21591,2
ALOX5,90000,6
ALOX52,301330.2424,12
ALR2,221040,5
ALR3,15808.5793,8
AMACR2p,103320.9,9
AMACR2r,103320.9,9
AMACRp,103320.9,9
AMACRr,103320.9,9
AMCOXO,103320.9,9
AMETr,,
AMETt2m,,
AMETtn,,
AMPDA,648000,20
AMPTASECGe,1090800,9
AMPtp,,
AMPtr,,
AMY1e,10728,8
AMY2e,4820328,8
ANDRSTRNGLCte,,
ANDRSTRNGLCtr,,
ANDRSTRNte,,
ANDRSTRNtr,,
ANTIPYRENEte,,
AOBUTDsm,,
AP4AH1,53100,5
APAT2rm,27612,26
APNNOXte,,
APOCF,2570.4,30
APOCFm,,
APOC_LYS_BTNP,,
APOC_LYS_BTNPm,,
APPNNte,,
APRTO2,9887.4,5
AQCOBALt,,
ARAB_Lt,,
ARABR,139676.4784,8
ARACHCOAtx,,
ARACHCPT1,29398.46512,20
ARACHCPT2,2838.827678,8
ARACHCRNt,,
ARACHDCOAtx,,
ARACHDt2,,
ARACHDtr,,
ARACHt,,
ARGDCm,7380,5
ARGLYSex,,
ARGNm,896400,2
ARGSS,684000,9
ARGt4,,
ARGtm,,
ARSA,63421.2,9
ARTCOAL1,,
ARTCOAL2,,
ARTCOAL3,,
R_group_phosphotase_1,33675.33951,9
R_group_phosphotase_2,,
R_group_phosphotase_3,,
ARTFR11,,
ARTFR12,,
ARTFR13,,
ARTFR202,,
ARTFR203,,
ARTFR204,,
ARTFR205,,
ARTFR206,,
ARTFR207,,
ARTFR208,,
ARTFR209,,
ARTFR210,,
ARTFR211,,
ARTFR212,,
ARTFR213,,
ARTFR31,,
ARTFR32,,
ARTFR33,,
ARTFR34,,
ARTFR41,,
ARTFR42,,
ARTFR43,,
ARTFR44,,
ARTFR45,,
ARTFR46,,
ARTFR51,,
ARTFR52,,
ARTFR53,,
ARTFR54,,
ARTFR55,,
ARTFR56,,
ARTFR57,,
ARTFR61,,
ARTPLM1,,
ARTPLM1m,,
ARTPLM2,,
ARTPLM2m,,
ARTPLM3,,
ARTPLM3m,,
ASAH1,360,12
ASCBOX,,
ASCBt,,
ASCBt4,,
ASNALANaEx,,
ASNCYSNaEx,,
ASNGLNNaEx,,
ASNNm,11484,2
ASNS1,5760,3
ASNSERNaEx,,
ASNt4,,
ASNTHRNaEx,,
ASNtm,,
ASNtN1,,
Asn_X_Ser_Thrtr,,
ASPCTr,20160,5
ASPDt6,,
ASPDxt,,
ASPGLUm,,
ASPNATm,25.56,3
ASPt6,,
ASPTAm,625572,5
ATP1ter,,
ATP2ter,,
ATPasel,,
ATPH1e,3096000,5
ATPH2e,278280,5
ATPtm,,
ATPtn,,
ATPtx,,
AVITE2t,,
B_MANNASEly,597703.8689,11
B3GALT3g,4009.463759,20
B3GALT41g,5344.8,14
B3GALT42g,5344.8,14
B3GALT43g,5344.8,14
B3GALT44g,5344.8,14
B3GALT5g,5344.8,14
B3GALTg,5344.8,14
B3GNT11g,1057.2,15
B3GNT12g,1057.2,15
B3GNT310g,,
B3GNT311g,5344.8,14
B3GNT312g,,
B3GNT313g,,
B3GNT314g,,
B3GNT315g,,
B3GNT31g,,
B3GNT32g,,
B3GNT33g,,
B3GNT34g,,
B3GNT35g,,
B3GNT36g,,
B3GNT37g,,
B3GNT39g,,
B3GNT51g,,
BAAT1x,1253.7,17
BAAT2x,29399.91365,20
BAAT3x,1253.7,17
BAAT4x,1253.7,17
BACCL,1458000000,5
BACCLm,1458000000,5
BALAtmr,,
BALAVECSEC,,
BAMPPALDOX,11880,6
BAMPPALDOXm,14076,17
BBHOX,10206,2
BCDO,4611.49087,23
BDG2HCGHD,16177.38638,8
BDHm,1048800,6
BDMT_L,52752.00312,17
BDMT_U,52752.00312,17
BETALDHxm,178074,5
BHBt,,
BHBtm,,
BHMT,105.696,2
BILDGLCURt,,
BILDGLCURte,,
BILDGLCURtr,,
BILGLCURt,,
BILGLCURte,,
BILGLCURtr,,
BILIRED,615.6,2
BILIRUBt2,,
BILIRUBtr,,
BIOCYTtn,,
BMTer_L,615.6,8
BMTer_U,,
BPNT2,8749.8,11
BTND1,81020.21392,20
BTND1n,81020.21392,20
BTNDe,26532,19
BTNDm,81020.21392,20
BTNPL,76587.41436,20
BTNPLm,76587.41436,20
BTNt2,,
BTNt2m,,
BTNt3i,,
BTNt4i,,
BTNtn,,
BUP2,87804,5
BUTt2m,,
BVITEt,,
BZt,,
BZtr,,
C14STRr,615.6,14
C160CPT1,3708,17
C160CPT2,5225400,17
C160CRNt,,
C161CPT1,29406.78566,20
C161CPT12,28646.80851,20
C161CPT2,5225400,17
C161CPT22,5225400,17
C161CRN2t,29081.37931,20
C161CRNt,29041.24655,20
C180CPT1,255.6,18
C180CPT2,5225400,17
C180CRNt,,
C181CPT1,270,18
C181CPT2,5225400,17
C181CRNt,29041.24655,20
C204CPT1,154.8,18
C204CPT2,5225400,17
C204CRNt,,
C226COAtx,,
C226CPT1,29404.10842,20
C226CPT2,,
C226CRNt,,
C2M26DCOAHLm,13422600,11
C2M26DCOAHLx,13422600,11
C3STDH1Pr,,
C3STDH1r,,
C3STKR2r,13422600,11
C4STMO1r,13422600,11
C4STMO2Pr,,
C4STMO2r,,
CAATPS,,
CAROtr,,
CARVEOLte,,
CAT2p,918000000,4
CAt7r,,
CATm,194112000,5
CATp,459000000,4
CBL2OR,1941120000,11
CBL2tm,,
CBLATm,898560,3
CBPPer,1941120000,11
CBPSam,20628,2
CBPter,,
CBR1,160922.16,14
CBR2,96069.34286,14
CCA_D3t,,
CCA_D3tm,,
CDIPTr,2250,20
CDPDAGtm,,
CDS,32112,5
CDSm,3.2904,13
CEPTC,2250,20
CEPTE,,
CERK,30780,13
CERT1gt,,
CERT1rt,,
CERT2gt,,
CERT2rt,,
CGLYt3_2_,,
CH25H,,
CHAT,5040,14
CHATn,5040,14
CHLP,63000,5
CHLPCTD,63000,5
CHLtm,,
CHOLATEt,,
CHOLATEt2,,
CHOLATEt3,,
CHOLD2m,266400,18
CHOLK,,
CHOLPtg,,
CHOLPtl,,
CHOLt4,,
CHOLtg,,
CHOLtn,,
CHOLtr,,
CHOLtu,,
CHSTEROLSULT,46.8,8
CHSTEROLt1,,
CHSTEROLt2,,
CHSTEROLt3,,
CHSTEROLtg,,
CHTNASE,180,8
CHTNASEe,180,8
CITMCOAHm,21111.84033,19
CITMCOALm,21960,20
CITRtm,,
CITt4_2,,
CITtam,,
CITtbm,,
CK,397380,2
CKc,415440,2
CLFORtex,,
CLHCO3tex2,,
CLI2tex,,
CLOHtex2,,
CLOXAtex2,,
CLPNDCOAtx,,
CLPNDCPT1,29407.44076,20
CLPNDCPT2,,
CLPNDCRNt,,
CLPNDt,,
CLS_hs,28928.11899,20
CMPACNAtg,,
CMPACNAtn,,
CMPSAS,6480,5
CMPSASn,6480,5
CO2ter,,
CO2tg,,
CO2tm,,
CO2tn,,
CO2tp,,
COAtg,,
COAtl,,
COAtm,,
COAtn,,
COAtp,,
COAtr,,
COKECBESr,136376.724,8
COQ3m,,
COQ5m,,
COQ6m,,
COQ7m,156600,7
CORE2GTg,1057.2,15
CORE3GTg,1057.2,15
CORE4GTg,1057.2,15
CORE5GTg,,
CORE6GTg,1057.2,15
CORE7GTg,4044.242737,20
CORE8GTg,5344.8,14
COt,,
COUCOAFm,7012.8,5
COUMARINte,,
CPCTDTX,119880,6
CREATt4_2_r,,
CREATtmdiffir,,
CRMPte,,
CRNCAR3tp,,
CRNCARtp,,
CRNt,,
CRNtHa,,
CRNtim,,
CRNtuNa,,
CRNtx,,
CRTNsyn,,
CRTSLt,,
CRTSLtm,,
CRTSLtr,,
CRTSTRNt,,
CRTSTRNtm,,
CRTSTRNtr,,
CRVNCtr,,
CSAPASEly,,
CSBPASEly,,
CSCPASEly,,
CSDPASEly,,
CSEPASEly,,
CSm,14980,17
CSNAT2m,138600,9
CSNAT2x,138600,9
CSNAT3x,138600,9
CSNATer,138600,3
CSNATm,138600,9
CSNATp,138600,3
CSNATr,138600,3
CSNt,,
CSPG_At,,
CSPG_Atly,,
CSPG_Bt,,
CSPG_Btly,,
CSPG_Ct,,
CSPG_Ctly,,
CSPG_Dt,,
CSPG_Dtly,,
CSPG_Et,,
CSPG_Etly,,
CTPtn,,
CYANt,,
CYANtm,,
CYSALANaEx,,
CYSASNNaEx,,
CYSGLNNaEx,,
CYSGLTH,2988,21
CYSGLUexR,,
CYSGLYexR,,
CYSLYSL,432,8
CYSO,6120,3
CYSSERNaEx,,
CYSt4,,
CYSTA,27612,14
CYSTAm,27612,14
CYStec,,
CYSTGLUex,,
CYSTHRNaEx,,
CYSTSERex,,
CYTD,17280,5
CYTDK1,,
CYTDK2m,20284.02737,7
CYTDn,17280,5
CYTDt,,
CYTDt4,,
CYTDtl,,
CYTDtm,,
CYTDtn,,
CYTK10,363600,2
CYTK10n,363600,2
CYTK11,185400,2
CYTK11n,185400,2
CYTK12,185400,2
CYTK12n,185400,2
CYTK13,185400,2
CYTK13n,185400,2
CYTK14,185400,2
CYTK14n,185400,2
CYTK1m,363600,2
CYTK1n,363600,2
CYTK2n,185400,2
CYTK3,,
CYTK3n,185400,2
CYTK4,,
CYTK4n,185400,2
CYTK5,185400,2
CYTK5n,363600,2
CYTK6,363600,2
CYTK6n,363600,2
CYTK7,363600,2
CYTK7n,363600,2
CYTK8,363600,2
CYTK8n,363600,2
CYTK9,363600,2
CYTK9n,363600,2
D_3AIBt,,
D3AIBTm,1296,14
DADA,648000,8
DADAe,648000,8
DADNK,4176,5
DADNt4,,
DAG_HSter,,
DAGK_hs,37452,2
DAGKn_hs,37452,2
DAGt,,
DALAOXx,18720,2
DALAt2r,,
DALAt2rL,,
DALAxt,10414.88257,8
DARGOp,12600,6
DASCBH,2237125.022,12
DASCBR,540000,6
DASPO1p,149985,5
DATPtn,,
DCIm,353614.1275,11
DCK1m,168,2
DCK1n,168,2
DCK2n,236,2
DCSPTN1COAtx,,
DCSPTN1CPT1,29406.78566,20
DCSPTN1CPT2,2323.052808,8
DCSPTN1CRNt,3456000,9
DCSPTN1t,,
DCT,4904153.848,20
DCTPtn,,
DCYTD,12600,17
DCYTDn,12600,17
DCYTt,,
DDPGAm,127886.9236,11
DEBRISOQUINEt,,
DECDPtm,,
DEDOLP1_L,,
DEDOLP1_U,182255.4632,11
DEDOLP2_L,,
DEDOLP2_U,,
DEDOLR_L,,
DEDOLR_U,,
DESAT16_2,1260,12
DESAT18_10,1260,12
DESAT18_3,1260,6
DESAT18_4,1260,6
DESAT18_5,1260,6
DESAT18_6,16612.952,23
DESAT18_7,1260,12
DESAT18_8,17062.32621,23
DESAT18_9,17191.78326,23
DESAT20_1,1260,12
DESAT20_2,1260,12
DESAT22_1p,1260,12
DESAT22_2p,1260,12
DESAT24_1,17191.78326,23
DGAT,1260,12
DGCHOLte,,
DGCHOLtx,,
DGK2m,1836000,5
DGNSKm,180,2
DGSNt,,
DGSNtm,,
DGTPtn,,
DGULND,3183.688585,20
DHAAt1r,,
DHAPA,28785.38053,20
DHAPAx,28785.38053,20
DHCHOLESTANATEtm,,
DHCR241r,,
DHCR242r,28949.38177,20
DHCR243r,28949.38177,20
DHCR71r,615.6,14
DHCR72r,615.6,14
DHCRD1,,
DHCRD2,,
DHDPBMTm,3492,14
DHEASt,,
DHEAStr,,
DHEASULT,46.8,8
DHEAtr,,
DHFtl,,
DHFtm,,
DHORD9,6480,19
DHPM1,7200,5
DHPM2,3600,5
DHPR2,174637.5783,12
DIDPtn,,
DIGALSGALSIDEtg,,
DIGALSIDEtg,,
DIGALSIDEtl,,
DINt,,
DITPtn,,
DKMPPD,,
D_LACt2,,
D_LACtm,,
DLNLCGCPT1,29407.44076,20
DLNLCGCPT2,,
DLNLCGCRNt,,
DLNLCGt,,
DM_13_cis_oretn_n_,,
DM_13_cis_retn_n_,28655.39749,20
DM_Asn_X_Ser_Thr_ly_,,
DM_avite2_c_,,
DM_bvite_c_,,
DM_core5_g_,,
DM_core7_g_,,
DM_core8_g_,,
DM_datp_m_,,
DM_datp_n_,,
DM_dctp_m_,,
DM_dctp_n_,,
DM_dem2emgacpail_prot_hs_r_,,
DM_dgpi_prot_hs_r_,,
DM_dgtp_m_,,
DM_dgtp_n_,,
DM_dsT_antigen_g_,,
DM_dttp_m_,,
DM_dttp_n_,,
DM_ethamp_r_,,
DM_gncore2_g_,,
DM_gpi_sig_er_,,
DM_hretn_n_,,
DM_kdn_c_,,
DM_m_em_3gacpail_prot_hs_r_,,
DM_melanin_c_,,
DM_mem2emgacpail_prot_hs_r_,,
DM_n5m2masn_g_,,
DM_oretn_n_,,
DM_Ser_Thr_ly_,,
DM_Ser_Gly_Ala_X_Gly_ly_,,
DM_sprm_c_,,
DM_sTn_antigen_g_,,
DM_T_antigen_g_,,
DM_yvite_c_,,
DMANTIPYRINEte,,
DMATTx,174.6,4
DMGDHm,171258.5014,23
DMGtm,,
DMHPTCRNCPT1,29398.46512,20
DMHPTCRNCPT2,,
DMHPTCRNt,1710.391919,11
DMHPTCRNte,,
DMNONCOACRNCPT1,137084.3506,23
DMNONCRNCPT2,,
DMNONCRNt,29018.70671,20
DNADtn,,
DNAMTn,208.8,3
DNAMTSEn,208.8,9
DNDPt10m,,
DNDPt11m,,
DNDPt12m,,
DNDPt13m,,
DNDPt14m,,
DNDPt15m,,
DNDPt16m,,
DNDPt17m,,
DNDPt18m,,
DNDPt19m,,
DNDPt1m,,
DNDPt20m,,
DNDPt21m,,
DNDPt22m,,
DNDPt23m,,
DNDPt24m,,
DNDPt25m,,
DNDPt26m,,
DNDPt27m,,
DNDPt28m,,
DNDPt29m,,
DNDPt2m,,
DNDPt30m,,
DNDPt31m,,
DNDPt32m,,
DNDPt33m,,
DNDPt34m,,
DNDPt35m,,
DNDPt36m,,
DNDPt37m,,
DNDPt38m,,
DNDPt39m,,
DNDPt3m,,
DNDPt40m,,
DNDPt41m,,
DNDPt42m,,
DNDPt43m,,
DNDPt44m,,
DNDPt45m,,
DNDPt46m,,
DNDPt47m,,
DNDPt48m,,
DNDPt49m,,
DNDPt4m,,
DNDPt50m,,
DNDPt51m,,
DNDPt52m,,
DNDPt53m,,
DNDPt54m,,
DNDPt55m,,
DNDPt56m,,
DNDPt57m,,
DNDPt58m,,
DNDPt59m,,
DNDPt5m,,
DNDPt60m,,
DNDPt61m,,
DNDPt62m,,
DNDPt63m,,
DNDPt6m,,
DNDPt7m,,
DNDPt8m,,
DNDPt9m,,
DOGULND1,,
DOGULND2,,
DOGULNO1,,
DOGULNO2,,
DOLASNT_Ler,25.2,19
DOLASNT_Uer,25.2,19
DOLDPP_Ler,24448.34109,20
DOLDPP_Uer,24448.34109,20
DOLGLCP_Lter,,
DOLGLCP_Uter,,
DOLGPP_Ler,9509.35096,20
DOLGPP_Uer,9509.35096,20
DOLICHOL_Lter,26785.96218,20
DOLICHOL_Uter,26696.62497,20
DOLK_L,29215.2,17
DOLK_U,29215.2,17
DOLMANP_Lter,9570.750789,20
DOLMANP_Uter,9509.35096,20
DOLP_Lter,,
DOLP_Uter,,
DOLPGT1_Ler,33206.3197,19
DOLPGT1_Uer,33206.3197,19
DOLPGT2_Ler,,
DOLPGT2_Uer,,
DOLPGT3_Ler,,
DOLPGT3_Uer,,
DOLPH_Ler,290649.5971,20
DOLPH_Uer,301295.7383,20
DOLPMT_L,74700.00468,11
DOLPMT_U,74700.00468,11
DOLPMT1_Ler,25.2,19
DOLPMT1_Uer,25.2,19
DOLPMT2_Ler,25.2,19
DOLPMT2_Uer,25.2,19
DOLPMT3_Ler,52752.00312,17
DOLPMT3_Uer,52752.00312,17
DOLPMT4_Ler,25.2,19
DOLPMT4_Uer,25.2,19
DOPABMO,221400,6
DOPACHRMISO,180490.0835,11
DOPAMT,500.4,3
DOPAQNISO1,25.2,19
DOPASFt,,
DOPASULT,91440,5
DOPAt4_2_r,,
DOPAtu,,
DOPAVESSEC,,
DORNOp,27213.93771,8
DPCOAtl,,
DPGase,13.32,9
DPGM,421200,11
DPHMBDCm,,
DPMVDx,16200,9
DPPS,,
DPROOp,36720,2
DRIBt,,
DRPA,92160,5
DSAT,16200,9
DTDPtn,,
DTTPtn,,
DUDPtn,,
DUMPtn,,
DURAD,1440,6
DURAD2,871.2,11
DURIK1,10471.5,5
DURIK1m,10471.5,5
DURIt,,
DURItn,,
DUTPDPm,33012,3
DUTPDPn,33012,3
EAFLATOXINte,,
EBASTINEOHte,,
EBASTINEOHtr,,
EBASTINEte,,
EBASTINEtr,,
EBP1r,1522.8,3
EBP2r,1522.8,9
ECGISOr,,
ECOAH12m,13422600,11
ECOAH1m,13422600,11
ECOAH1x,13422600,11
ECOAH9m,13422600,11
EGMESTr,1522.8,9
EHGLAT2m,1008000,10
EHGLATm,677314.2857,5
EICOSTETCPT1,29407.44076,20
EICOSTETCPT2,13422600,11
EICOSTETCRNt,,
EICOSTETt,,
ELAIDCPT1,28646.80851,20
ELAIDCPT2,811510.0799,11
ELAIDCRNt,29041.24655,20
ELAIDt,,
ENGASE,23580,19
ENGASE2,23580,19
ENGASE2ly,1314000,11
ENGASE3ly,1314000,11
ENGASEly,1314000,11
ENMAN1g,,
ENMAN2g,1314000,11
ENMAN3g,1314000,11
ENMAN4g,1314000,11
ENMAN5g,1314000,11
ENMAN6g,1314000,11
EPCTX,900,2
ESTRADIOLGLCt,,
ESTRADIOLGLCt2,,
ESTRADIOLGLCtr,,
ESTRADIOLt,,
ESTRADIOLtr,,
ESTRIOLGLCte,,
ESTRIOLGLCtr,,
ESTRIOLtr,,
ESTRONEGLCt,,
ESTRONEGLCtr,,
ESTRONESt,,
ESTRONESt2,,
ESTRONEtr,,
ESTSULT,43.866,8
ETF,,
ETFQO,283680,3
ETHAK,0.576,3
ETHP,,
ETOHMO,,
ETOHtx,,
EX_10fthf[e],,
EX_10fthf5glu[e],,
EX_10fthf6glu[e],,
EX_10fthf7glu[e],,
EX_11_cis_retfa[e],,
EX_13_cis_retnglc[e],,
EX_1glyc_hs[e],,
EX_2425dhvitd2[e],,
EX_2425dhvitd3[e],,
EX_24nph[e],,
EX_25hvitd2[e],,
EX_25hvitd3[e],,
EX_2hb[e],,
EX_2mcit[e],,
EX_34dhoxpeg[e],,
EX_34dhphe[e],,
EX_35cgmp[e],,
EX_3aib[e],,
EX_3aib_D[e],,
EX_3mlda[e],,
EX_4hdebrisoquine[e],,
EX_4hphac[e],,
EX_4mptnl[e],,
EX_4mtolbutamide[e],,
EX_4nph[e],,
EX_4nphsf[e],,
EX_4pyrdx[e],,
EX_5adtststerone[e],,
EX_5adtststeroneglc[e],,
EX_5adtststerones[e],,
EX_5dhf[e],,
EX_5fthf[e],,
EX_5homeprazole[e],,
EX_5htrp[e],,
EX_5mthf[e],,
