REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
ACCOAgt,0.0,0.0,-0.09,-29.78,29.6
ACCOALm,-10.34,4.73,-1.42,-99.76,96.92
ACCOAtn,0.0,0.0,0.0,-29.69,29.69
ACCOAtr,0.0,0.0,0.0,-29.69,29.69
ACETONEt2,0.0,0.0,-1.71,-31.4,27.98
ACETONEt2m,0.0,0.0,-19.71,-49.39,9.98
ACGAGBSIDEtg,0.0,0.0,-0.0,-29.69,29.69
ACGAGBSIDEtl,0.0,0.0,0.0,-29.69,29.69
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0,-29.69,29.69
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,-29.69,29.69
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0,-0.0,-29.69,29.69
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,-29.69,29.69
ACGALK,32.24,6.47,-7.8,-79.86,64.26
ACGALK2,28.5,6.87,-11.09,-83.93,61.75
ACGALtlg,0.0,0.0,-0.0,-29.69,29.69
ACGALtly,0.0,0.0,-0.0,-29.69,29.69
ACGAM6PSi,22.61,8.34,-22.47,-98.2,53.26
ACGAMK,27.63,6.5,-12.42,-84.55,59.7
ACGAMPM,4.62,4.73,4.62,-34.34,43.58
ACGAMtly,0.0,0.0,-0.0,-29.69,29.69
ACGBGBSIDEtg,0.0,0.0,-0.0,-29.69,29.69
ACGBGBSIDEtl,0.0,0.0,0.0,-29.69,29.69
ACGSm,27.0,7.41,-23.59,-97.49,50.31
ACHEe,20.76,5.02,-24.67,-105.75,2.98
ACHtn,0.0,0.0,0.0,-29.69,29.69
ACHVESSEC,11.33,4.76,-26.16,-136.42,30.67
ACITL,2.32,0.7,9.2,-122.8,87.76
ACN13ACNGALGBSIDEte,0.0,0.0,-5.79,-35.48,23.9
ACN13ACNGALGBSIDEtg,0.0,0.0,0.0,-29.69,29.69
ACN23ACNGALGBSIDEte,0.0,0.0,-5.79,-35.48,23.9
ACN23ACNGALGBSIDEtg,0.0,0.0,0.0,-29.69,29.69
ACNACNGAL14ACGLCGALGLUSIDEte,0.0,0.0,5.79,-23.9,35.48
ACNACNGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,-29.69,29.69
ACNACNGALGBSIDEte,0.0,0.0,-5.79,-35.48,23.9
ACNACNGALGBSIDEtg,0.0,0.0,0.0,-29.69,29.69
ACNAM9PL,-66.68,5.36,-67.1,-136.98,2.77
ACNAMlt,0.0,0.0,10.09,-19.6,39.78
ACNAMPH,-12.24,3.45,-9.58,-87.6,14.99
ACNAMtn,0.0,0.0,0.0,-29.69,29.69
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0,2.89,-26.79,32.58
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,-29.69,29.69
ACNMLr,7.87,1.43,7.87,-66.17,28.48
ACOAD10m,37.9,5.9,35.3,-35.65,106.26
ACOAD1fm,33.36,6.51,30.77,-41.37,102.91
ACOAD8m,37.9,5.9,35.3,-35.65,106.26
ACOAD9m,32.75,5.29,30.15,-39.59,99.9
ACOAHi,11.16,4.8,-33.13,-113.8,-5.9
ACOAO7p,-56.31,7.63,-56.31,-130.65,18.04
ACODA,-10.54,5.88,-12.02,-94.8,17.31
ACONTm,7.63,0.53,7.63,-23.11,38.36
ACOX22x,-206.42,6.38,-206.65,-272.61,-113.98
ACOX2x,-377.46,7.98,-377.69,-440.83,-261.11
ACP1_FMN_,-31.65,3.59,-27.87,-106.16,-3.03
ACRNtm,0.0,0.0,0.0,-29.69,29.69
ACS2,-10.34,4.73,-3.08,-101.41,95.26
ACSm,-15.14,0.65,-6.23,-96.57,84.12
ACt2m,0.0,0.0,-4.75,-34.44,24.94
ACt2r,0.0,0.0,1.19,-28.5,30.88
ACtg,0.0,0.0,-0.02,-29.71,29.67
ACTLMO,-489.3,7.68,-440.63,-503.19,-324.63
ACTNMO,-421.26,7.7,-372.6,-435.2,-256.55
ADA,-59.51,7.0,-16.8,-101.78,14.74
ADAe,-59.51,7.0,-15.65,-100.63,15.89
ADCim,-59.06,8.15,-10.08,-97.3,23.71
ADEt,0.0,0.0,-0.0,-29.69,29.68
ADEtl,0.0,0.0,1.01,-28.68,30.7
ADHAPtx,0.0,0.0,-2.38,-32.06,27.31
ADK1m,1.88,0.26,-4.61,-64.49,55.28
ADK3,5.56,2.15,3.47,-60.13,67.07
ADK3m,5.56,2.15,-0.72,-64.32,62.88
ADKd,-0.64,2.37,-2.76,-66.77,61.25
ADMDC,-55.9,6.98,-12.39,-97.33,19.11
ADNCYC,-2.12,1.6,6.65,-67.74,27.59
ADNK1m,24.77,5.26,-19.81,-89.5,49.88
ADNt,0.0,0.0,-0.01,-29.69,29.68
ADNt4,0.0,0.0,-3.01,-62.39,56.37
ADNtl,0.0,0.0,0.68,-29.01,30.37
ADNtm,0.0,0.0,0.01,-29.68,29.7
ADPGLC,57.57,9.71,-32.55,-122.84,4.3
ADPMAN,57.57,9.71,-32.55,-122.84,4.3
ADPRDPm,58.41,11.99,-41.07,-135.83,0.25
ADPRIBt,0.0,0.0,5.79,-23.9,35.48
ADPtx,0.0,0.0,-2.58,-32.27,27.11
ADRNCOAtx,0.0,0.0,-4.76,-34.45,24.93
ADRNCPT1,-6.88,3.21,-6.94,-72.6,58.73
ADRNCPT2,6.88,3.21,7.24,-58.43,72.9
ADRNCRNt,0.0,0.0,0.0,-29.69,29.69
ADRNLPVESSEC,11.33,4.76,-26.19,-136.45,30.64
ADRNt,0.0,0.0,2.89,-26.8,32.58
ADSK,26.22,12.76,-19.67,-104.06,64.71
ADSL1,5.53,2.22,11.38,-64.22,33.55
ADSL2,8.83,4.73,14.69,-65.83,41.78
AFLATOXINte,0.0,0.0,0.0,-29.69,29.69
AGMTm,-72.12,10.04,-72.12,-163.04,-34.63
AGPex,0.0,0.0,-2.38,-32.06,27.31
AGPRim,-57.99,5.81,-1.68,-114.0,57.21
AGTim,-7.9,2.66,-8.0,-72.59,56.59
AGTix,-7.9,2.66,-7.91,-72.5,56.68
AHANDROSTANGLCte,11.33,4.76,-29.05,-139.31,27.77
AHANDROSTANGLCtr,0.0,0.0,0.0,-29.69,29.69
AHCYStn,0.0,0.0,0.0,-29.69,29.69
AHCYStr,0.0,0.0,0.0,-29.69,29.69
AIRCr,44.63,8.37,-7.31,-41.53,80.35
AKGDm,-24.34,6.27,-29.9,-131.25,71.45
AKGMALtm,0.0,0.0,0.01,-59.37,59.38
AKGt4_3,0.0,0.0,-3.22,-121.98,115.53
AKGtp,0.0,0.0,-2.38,-32.06,27.31
AKR1C1,-59.35,5.12,-10.68,-80.08,58.72
AKR1C41,-41.99,5.75,3.71,-66.93,74.36
AKR1C42,-41.99,5.75,3.71,-66.93,74.36
AKR1D,-91.46,16.65,-42.79,-134.8,49.22
AKR1D2,-91.46,16.65,-42.79,-134.8,49.22
ALAASNNaEx,0.0,0.0,-3.13,-92.2,85.94
ALACYSNaEx,0.0,0.0,-3.03,-92.09,86.04
ALADGLNexR,0.0,0.0,-0.01,-59.38,59.37
ALADGLYexR,0.0,0.0,-0.01,-59.39,59.37
ALAGLNexR,0.0,0.0,-0.01,-59.38,59.37
ALAGLNNaEx,0.0,0.0,-3.01,-92.08,86.06
ALAGLYexR,0.0,0.0,-0.01,-59.39,59.37
ALASERNaEx,0.0,0.0,-3.04,-92.1,86.03
ALASm,-36.55,8.4,14.97,-102.43,78.94
ALAt2rL,0.0,0.0,-11.95,-41.64,17.74
ALAt4,0.0,0.0,-2.99,-62.37,56.39
ALATA_L,-1.46,0.86,0.01,-61.05,61.06
ALATHRNaEx,0.0,0.0,-3.03,-92.1,86.04
ALAtN1,0.0,0.0,-4.29,-93.35,84.78
ALCD21_D,74.87,5.32,29.16,-40.63,98.96
ALCD21_L,74.87,5.32,29.16,-40.63,98.96
ALCD22_D,46.96,6.04,1.25,-69.97,72.47
ALCD22_L,46.96,6.04,1.25,-69.97,72.47
ALCD2if,64.13,4.76,18.42,-50.28,87.13
ALCD2yf,67.56,4.79,18.89,-49.87,87.66
ALDD20x,46.17,9.69,-43.77,-122.15,34.6
ALDD20xm,46.17,9.69,-53.27,-131.64,25.1
ALDD21,46.17,9.69,-43.78,-122.15,34.59
ALDD2xm,36.25,9.69,-63.19,-141.56,15.17
ALDD2y,39.68,9.7,-53.22,-131.6,25.16
ALDSTRNte,0.0,0.0,-0.0,-29.69,29.69
ALDSTRNtm,0.0,0.0,-0.0,-29.69,29.69
ALKP,-12.2,3.51,-12.54,-90.67,12.14
ALR2,-61.32,5.63,-12.65,-83.06,57.76
ALR3,-67.38,5.56,-18.71,-88.98,51.56
AMACR2p,-169.78,4.44,-169.78,-202.23,-110.61
AMACR2r,-169.78,4.44,-169.78,-202.23,-110.61
AMACRp,0.0,0.0,0.0,-29.69,29.69
AMACRr,0.0,0.0,0.0,-29.69,29.69
AMETr,0.0,0.0,0.0,-29.69,29.69
AMETt2m,0.0,0.0,-14.91,-74.29,44.47
AMETtn,0.0,0.0,0.0,-29.69,29.69
AMPDA,-66.47,7.55,-24.01,-110.07,8.6
AMPTASECGe,-6.11,9.13,-5.46,-94.6,30.25
AMPtp,0.0,0.0,-2.43,-32.12,27.26
AMPtr,0.0,0.0,0.0,-29.69,29.69
ANDRSTRNGLCte,11.33,4.76,-29.05,-139.31,27.77
ANDRSTRNGLCtr,0.0,0.0,0.0,-29.69,29.69
ANDRSTRNte,0.0,0.0,-0.0,-29.69,29.69
ANDRSTRNtr,0.0,0.0,0.0,-29.69,29.69
ANTIPYRENEte,0.0,0.0,-0.0,-29.69,29.69
AOBUTDsm,-55.9,6.98,-4.52,-89.46,26.98
AP4AH1,62.73,15.83,-33.64,-135.92,15.21
APAT2rm,-5.44,4.81,-4.17,-72.96,64.63
APNNOXte,0.0,0.0,0.0,-29.69,29.69
APPNNte,0.0,0.0,0.0,-29.69,29.69
APRTO2,-89.02,8.97,-89.07,-207.59,-24.0
AQCOBALt,0.0,0.0,-0.0,-29.69,29.69
ARAB_Lt,0.0,0.0,0.0,-29.69,29.69
ARABR,-51.86,6.15,-3.19,-74.62,68.25
ARACHCOAtx,0.0,0.0,-4.76,-34.45,24.93
ARACHCPT1,-6.88,3.21,-6.94,-72.6,58.73
ARACHCPT2,6.88,3.21,7.24,-58.43,72.9
ARACHCRNt,0.0,0.0,0.0,-29.69,29.69
ARACHDCOAtx,0.0,0.0,-4.76,-34.45,24.93
ARACHDt2,0.0,0.0,2.89,-26.8,32.58
ARACHDtr,0.0,0.0,0.0,-29.69,29.69
ARACHt,0.0,0.0,2.89,-26.8,32.58
ARGDCm,-29.31,10.8,16.88,-75.55,55.87
ARGLYSex,-0.0,0.0,0.01,-59.37,59.39
ARGNm,-23.03,10.22,-22.93,-114.22,14.91
ARGSS,32.81,5.29,-4.25,-103.68,95.19
ARGt4,0.0,0.0,-5.88,-65.26,53.5
ARGtm,0.0,0.0,4.59,-25.1,34.28
ASCBt,0.0,0.0,2.89,-26.79,32.58
ASCBt4,0.0,0.0,-0.11,-59.49,59.27
ASNALANaEx,0.0,0.0,-2.88,-91.95,86.19
ASNCYSNaEx,0.0,0.0,-2.9,-91.97,86.16
ASNGLNNaEx,0.0,0.0,-2.89,-91.95,86.18
ASNNm,-12.37,7.12,-13.07,-98.28,18.7
ASNS1,1.31,7.56,-35.95,-181.39,56.06
ASNSERNaEx,0.0,0.0,-2.91,-91.98,86.15
ASNt4,0.0,0.0,-2.86,-62.24,56.51
ASNTHRNaEx,0.0,0.0,-2.91,-91.97,86.16
ASNtm,0.0,0.0,-1.05,-30.74,28.64
ASNtN1,0.0,0.0,-4.16,-93.23,84.9
Asn_X_Ser_Thrtr,0.0,0.0,0.0,-29.69,29.69
ASPCTr,22.49,6.69,-23.54,-96.03,48.95
ASPDt6,0.0,0.0,-4.81,-153.25,143.64
ASPDxt,0.0,0.0,1.18,-28.51,30.87
ASPGLUm,0.0,0.0,-19.74,-79.12,39.64
ASPNATm,33.13,6.72,-17.5,-90.06,55.06
ASPt6,0.0,0.0,-4.81,-153.25,143.64
ASPTAm,2.81,0.88,2.78,-58.32,63.88
ATP1ter,0.0,0.0,0.0,-59.38,59.38
ATP2ter,0.0,0.0,0.0,-59.38,59.38
ATPasel,11.33,4.76,-17.12,-97.7,10.01
ATPH1e,20.78,9.51,-58.8,-190.25,-34.22
ATPH2e,9.45,4.76,-28.76,-109.34,-1.63
ATPtm,0.0,0.0,-14.82,-74.19,44.56
ATPtn,0.0,0.0,0.0,-29.69,29.69
ATPtx,0.0,0.0,-3.69,-33.38,26.0
AVITE2t,0.0,0.0,0.0,-29.69,29.69
B_MANNASEly,-5.02,4.37,-5.02,-84.83,21.36
BAAT1x,45.02,4.9,45.01,-23.97,113.98
BAAT3x,45.02,4.9,45.01,-23.97,113.98
BAAT4x,45.02,4.9,45.01,-23.97,113.98
BALAtmr,0.0,0.0,-0.02,-29.71,29.67
BALAVECSEC,11.33,4.76,-29.05,-139.32,27.77
BAMPPALDOX,43.45,13.77,-45.01,-131.37,41.36
BAMPPALDOXm,43.45,13.77,-54.48,-140.85,31.89
BBHOX,-451.59,7.91,-451.61,-556.19,-347.04
BCDO,-369.05,8.85,-369.05,-445.77,-292.32
BDG2HCGHD,40.06,7.05,-4.23,-89.31,27.41
BDHm,53.93,4.88,3.47,-65.46,72.41
BETALDHxm,46.17,9.69,-51.79,-130.16,26.58
BHBt,0.0,0.0,1.19,-28.5,30.88
BHBtm,0.0,0.0,-4.75,-34.44,24.94
BILDGLCURt,0.0,0.0,2.93,-56.45,62.31
BILDGLCURte,11.33,4.76,-34.84,-145.11,21.98
BILDGLCURtr,0.0,0.0,0.0,-29.69,29.69
BILGLCURt,0.0,0.0,-2.86,-62.24,56.52
BILGLCURte,11.33,4.76,-29.05,-139.31,27.77
BILGLCURtr,0.0,0.0,0.0,-29.69,29.69
BILIRED,18.77,17.42,67.48,-26.04,160.99
BILIRUBt2,0.0,0.0,2.93,-56.45,62.31
BILIRUBtr,0.0,0.0,0.0,-29.69,29.69
BIOCYTtn,0.0,0.0,0.0,-29.69,29.69
BPNT2,-14.89,11.84,-9.38,-103.84,31.65
BTND1,0.72,4.72,-0.76,-81.25,26.3
BTND1n,0.72,4.72,-0.76,-81.25,26.3
BTNDe,0.72,4.72,-0.75,-81.25,26.31
BTNDm,0.72,4.72,-0.72,-81.22,26.33
BTNt2,0.0,0.0,1.19,-28.5,30.88
BTNt2m,0.0,0.0,-4.75,-34.44,24.94
BTNt3i,11.33,4.76,-29.16,-169.11,57.35
BTNt4i,0.0,0.0,4.6,-25.09,34.29
BTNtn,0.0,0.0,0.0,-29.69,29.69
BUP2,-134.49,13.39,-47.57,-186.64,-15.38
BUTt2m,0.0,0.0,-4.74,-34.43,24.94
BVITEt,0.0,0.0,0.0,-29.69,29.69
BZt,0.0,0.0,2.89,-26.79,32.58
BZtr,0.0,0.0,0.0,-29.69,29.69
C14STRr,-91.46,16.65,-42.79,-134.8,49.22
C160CPT1,1.98,4.73,1.92,-66.73,70.56
C160CPT2,-1.98,4.73,-1.62,-70.26,67.03
C160CRNt,0.0,0.0,0.0,-29.69,29.69
C161CPT1,-6.88,3.21,-6.94,-72.6,58.73
C161CPT12,-6.88,3.21,-6.94,-72.6,58.73
C161CPT2,6.88,3.21,7.24,-58.43,72.9
C161CPT22,6.88,3.21,7.24,-58.43,72.9
C161CRN2t,0.0,0.0,0.0,-29.69,29.69
C161CRNt,0.0,0.0,0.0,-29.69,29.69
C180CPT1,-6.88,3.21,-6.94,-72.6,58.73
C180CPT2,6.88,3.21,7.24,-58.43,72.9
C180CRNt,0.0,0.0,0.0,-29.69,29.69
C181CRNt,0.0,0.0,0.0,-29.69,29.69
C204CRNt,0.0,0.0,0.0,-29.69,29.69
C226COAtx,0.0,0.0,-4.76,-34.45,24.93
C226CPT1,-6.88,3.21,-6.94,-72.6,58.73
C226CPT2,6.88,3.21,7.24,-58.43,72.9
C226CRNt,0.0,0.0,0.0,-29.69,29.69
C2M26DCOAHLm,1.26,3.8,1.26,-35.87,38.38
C2M26DCOAHLx,1.26,3.8,1.26,-35.87,38.38
C3STDH1Pr,-27.62,8.81,-76.28,-194.48,-11.51
C3STDH1r,-31.05,8.8,-76.75,-194.94,-12.0
C3STKR2r,-45.42,9.49,3.24,-74.73,81.22
C4STMO1r,-1413.66,20.74,-1267.67,-1391.46,-983.56
C4STMO2Pr,-370.88,8.53,-419.54,-525.33,-313.76
C4STMO2r,-374.31,8.52,-420.01,-525.78,-314.25
CAATPS,11.33,4.76,-21.37,-131.64,35.45
CAROtr,0.0,0.0,0.0,-29.69,29.69
CARVEOLte,0.0,0.0,0.0,-29.69,29.69
CAT2p,-304.19,5.28,-304.19,-332.35,-222.59
CAt7r,0.0,0.0,-3.04,-121.8,115.71
CATm,-192.89,10.88,-192.89,-232.02,-100.31
CATp,-192.89,10.88,-192.89,-232.02,-100.32
CBL2tm,0.0,0.0,-0.0,-29.69,29.69
CBPPer,-71.15,9.49,-28.48,-148.02,37.62
CBPSam,65.92,11.43,-21.45,-162.62,119.71
CBPter,-0.0,0.0,0.0,-89.07,89.07
CBR1,-47.67,5.49,1.0,-69.14,71.13
CBR2,-45.42,5.76,3.24,-67.43,73.91
CCA_D3t,0.0,0.0,-2.89,-32.58,26.79
CCA_D3tm,0.0,0.0,-14.96,-44.64,14.73
CDPDAGtm,0.0,0.0,29.91,0.22,59.6
CERT1gt,0.0,0.0,0.0,-29.69,29.69
CERT1rt,0.0,0.0,0.0,-29.69,29.69
CERT2gt,0.0,0.0,0.0,-29.69,29.69
CERT2rt,0.0,0.0,0.0,-29.69,29.69
CGLYt3_2_,0.0,0.0,-3.14,-32.83,26.55
CH25H,-450.36,7.01,-401.7,-462.95,-287.01
CHAT,-9.59,1.6,-9.65,-72.17,52.86
