RXNID	NAME	FORMULA	SUBSYSTEM	GR RULE	EC NUMBER	KEGG	NOTES	REFERENCES
2OXOADPTm	2-Oxoadipate Shuttle (Cytosol/Mitochondria)	1 akg[m] + 1 2oxoadp[c] <=> 1 akg[c] + 1 2oxoadp[m]	Tryptophan metabolism	(89874)			SAB PMID 11083877	PMID:11083877
34DHOXPEGOX	3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase	1 h[c] + 1 nadh[c] + 1 34dhmald[c] <=> 1 nad[c] + 1 34dhoxpeg[c]	Tyrosine metabolism	(127) or (128) or (130) or (131) or (137872) or (124) and (125) or (124) and (126) or (125) and (126)	1.1.1.1	R04880	SAB	PMID:3466164
34DHOXPEGt	3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)	1 34dhoxpeg[c] <=> 1 34dhoxpeg[e]	Transport, extracellular				SAB	PMID:7473774
34DHPHAMT	3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase	1 34dhpha[c] + 1 amet[c] --> 1 h[c] + 1 ahcys[c] + 1 homoval[c]	Tyrosine metabolism	(1312)	2.1.1.6		SAB	PMID:1847521
34DHPHEt	3, 4-Dihydroxy-L-Phenylalanine Transport	1 34dhphe[e] <=> 1 34dhphe[c]	Transport, extracellular	(117247)			NCD	PMID:11827462
34DHPLACOX	3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase	1 h2o[c] + 1 nad[c] + 1 34dhpac[c] --> 2 h[c] + 1 nadh[c] + 1 34dhpha[c]	Tyrosine metabolism	(218) or (220) or (221) or (222)	1.2.1.5		SAB	PMID:11306106,PMID:2071588
34DHPLACOX_NADP_	3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase	1 h2o[c] + 1 nadp[c] + 1 34dhpac[c] <=> 2 h[c] + 1 nadph[c] + 1 34dhpha[c]	Tyrosine metabolism	(218) or (221) or (222)	1.2.1.5		SAB	PMID:11306106,PMID:2071588
34DHXMANDACOX	3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase	1 h2o[c] + 1 nad[c] + 1 34dhmald[c] --> 2 h[c] + 1 nadh[c] + 1 34dhoxmand[c]	Tyrosine metabolism	(218) or (220) or (221)	1.2.1.5		SAB	PMID:10424772,PMID:12616643
34DHXMANDACOX_NADP_	3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase	1 h2o[c] + 1 nadp[c] + 1 34dhmald[c] <=> 2 h[c] + 1 nadph[c] + 1 34dhoxmand[c]	Tyrosine metabolism	(221) or (222)	1.2.1.5		SAB	PMID:10424772,PMID:12616643
34HPLFM	3- (4-Hydroxyphenyl-)Lactate Formation	1 h[m] + 1 nadh[m] + 1 34hpp[m] --> 1 nad[m] + 1 34hpl[m]	Ubiquinone synthesis			R03336	IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.	PMID:11583838,PMID:12232327
34HPPOR	4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase	1 o2[c] + 1 34hpp[c] --> 1 co2[c] + 1 hgentis[c]	Tyrosine metabolism	(3242)	1.13.11.27	R02521		
35CGMPtn	35CGMP Nuclear Transport	1 35cgmp[c] <=> 1 35cgmp[n]	Transport, nuclear				IT	
3AIBTm	L-3-Aminoisobutyrate Transaminase, Mitochondrial	1 2mop[m] + 1 glu_L[m] <=> 1 akg[m] + 1 3aib[m]	Valine, leucine, and isoleucine metabolism	(18)	2.6.19.4			
3AIBtmi	3-Amino-Isobutyrate Transport, Mitochondrial	1 3aib[m] --> 1 3aib[c]	Transport, mitochondrial	(18)			4	We show in this study that the product of Slc6a18 called XT2 is a Na+- and Cl dependent neutral amino acid transporter and displays, compared with B0AT1, a lower K0.5 and a different substrate selectivity. Because of its broad transport selectivity for neutral amino acids, we suggest that it be renamed B0AT3. Exclusive to kidney, responsible for re-absorption of neutral amino acids (gly, ala, val, leu, ile, met, ser, cys, asn, gln, phe, tyr, trp, arg, glu).
3DPHBH1	Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH)	1 o2[m] + 1 h[m] + 1 nadh[m] + 1 3dphb[m] --> 1 h2o[m] + 1 nad[m] + 1 3dpdhb[m]	Ubiquinone synthesis				Used to make Ubiquinone-10 enzyme has not been identified yet. IT	PMID:11051212
3DPHBH2	Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH)	1 o2[m] + 1 h[m] + 1 nadph[m] + 1 3dphb[m] --> 1 h2o[m] + 1 nadp[m] + 1 3dpdhb[m]	Ubiquinone synthesis				Used to make Ubiquinone-10 enzyme has not been identified yet. IT	PMID:11051212
3DSPHR	3-Dehydrosphinganine Reductase	1 h[c] + 1 nadph[c] + 1 3dsphgn[c] --> 1 nadp[c] + 1 sphgn[c]	Sphingolipid metabolism	(2531)	1.1.1.102	R02978		
3HAO	3-Hydroxyanthranilate 3, 4-Dioxygenase	1 o2[c] + 1 3hanthrn[c] --> 1 h[c] + 1 cmusa[c]	Tryptophan metabolism	(23498)	1.13.11.6	R02665	NCD	PMID:7514594
3HBCDm	3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial	1 h2o[m] + 1 b2coa[m] <=> 1 3hbcoa_R[m]	Butanoate metabolism	(55268)	4.2.1.55		NCD. rat gene that is homologous to the human gene encodes for this activity	PMID:9073515
3HBCOAHLm	3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial	1 h2o[m] + 1 3hibutcoa[m] --> 1 h[m] + 1 coa[m] + 1 3hmp[m]	Valine, leucine, and isoleucine metabolism		3.1.2.4		MM	PMID:8824301
3HKYNAKGAT	3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase	1 akg[c] + 1 hLkynr[c] --> 1 glu_L[c] + 1 42A3HP24DB[c]	Tryptophan metabolism	(51166) or (883)	2.6.1.7		SAB	PMID:13357462
3HLYTCL	3-Hydroxy-L-Tyrosine Carboxy-Lyase	1 h[c] + 1 34dhphe[c] --> 1 co2[c] + 1 dopa[c]	Tyrosine metabolism	(1644)	4.1.1.28		SAB	
3HPCOAHYD	3-Hydroxyisobutyryl-Coenzyme A Hydrolase	1 h2o[c] + 1 3hpcoa[c] --> 1 h[c] + 1 coa[c] + 1 3hpp[c]	Beta-Alanine metabolism	(26275)	3.1.2.4		SAB	PMID:8824301
3HPPD	3-Hydroxypropionate Dehydrogenase	1 nad[c] + 1 3hpp[c] <=> 1 h[c] + 1 nadh[c] + 1 msa[c]	Propanoate metabolism		1.1.1.59		NCD	PMID:4507604
3HXKYNDCL	3-Hydroxykynurenamine Decarboxy-Lyase	1 h[c] + 1 hLkynr[c] --> 1 co2[c] + 1 3hxkynam[c]	Tryptophan metabolism	(1644)	1.1.1.59		SAB made up name	
3HXKYNOXDA	3-Hydroxykynurenamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	1 o2[c] + 1 3hxkynam[c] --> 1 h2o2[c] + 1 nh4[c] + 1 48dhoxquin[c]	Tryptophan metabolism	(4128) or (4129)	1.4.3.4		SAB	PMID:15035803,PMID:8920635,PMID:9653080
3M4HDXPAC	3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase	1 h2o[c] + 1 nad[c] + 1 3mox4hpac[c] <=> 2 h[c] + 1 nadh[c] + 1 homoval[c]	Tyrosine metabolism	(218) or (220) or (221) or (222)	1.2.1.5		SAB	PMID:6422947,PMID:9732974
3MLDAt	3Mlda Extracellular Transport via Diffusion	1 3mlda[c] <=> 1 3mlda[e]	Transport, extracellular				SAB	PMID:11411609
3MOBt2im	3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport	1 h[c] + 1 3mob[c] --> 1 h[m] + 1 3mob[m]	Transport, mitochondrial				MM	PMID:8428987
3MOPt2im	3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport	1 h[c] + 1 3mop[c] --> 1 h[m] + 1 3mop[m]	Transport, mitochondrial				MM	PMID:8428987
3MOX4HOXPGALDOX	3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase	1 h2o[c] + 1 nad[c] + 1 3m4hpga[c] --> 2 h[c] + 1 nadh[c] + 1 3mox4hoxm[c]	Tyrosine metabolism	(218) or (220) or (221) or (222)	1.2.1.5		SAB	
3MOX4HOXPGALDOX_NADP_	3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase	1 h2o[c] + 1 nadp[c] + 1 3m4hpga[c] <=> 2 h[c] + 1 nadph[c] + 1 3mox4hoxm[c]	Tyrosine metabolism	(218) or (220) or (221) or (222)	1.2.1.5		SAB	
3MOXTYROX	3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating)	1 h2o[c] + 1 o2[c] + 1 3moxtyr[c] --> 1 h2o2[c] + 1 nh4[c] + 1 3mox4hpac[c]	Tyrosine metabolism	(4128) or (4129)	1.4.3.4	R04890	SAB	PMID:10867119
3NTD7l	3'-Nucleotidase (AMP), Lysosomal	1 h2o[l] + 1 3amp[l] --> 1 pi[l] + 1 adn[l]	Purine catabolism	(51205) or (53) or (54) or (55)	3.1.3.2		MKA AMF IT	
3SALAASPm	Cysteinesulfinate-Aspartate Mitochondrial Shuttle	1 3sala[m] + 1 asp_L[c] <=> 1 3sala[c] + 1 asp_L[m]	Transport, mitochondrial	(10165) or (8604)			PMID:486467  MM	PMID:14598172
3SALACBOXL	3-Sulfino-L-Alanine Carboxy-Lyase	2 h[c] + 1 3sala[c] --> 1 co2[c] + 1 hyptaur[c]	Taurine and hypotaurine metabolism	(2571) or (2572) or (51380)	4.1.1.15		SAB	
3SALAOX	Cysteinesulfinic Acid Oxidase	1 o2[c] + 2 h[c] + 2 3sala[c] --> 2 Lcyst[c]	Taurine and hypotaurine metabolism		4.1.1.15		as described in Bender (Nutritional biochmeistry of the vitamins, 2nd edition)  MM	
3SALATAi	3-Sulfino-Alanine Transaminase (Irreversible)	1 h[c] + 1 akg[c] + 1 3sala[c] --> 1 glu_L[c] + 1 3snpyr[c]	Methionine and cysteine metabolism	(2805)	2.6.1.1		MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain	PMID:3346220
3SALATAim	3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial	1 h[m] + 1 akg[m] + 1 3sala[m] --> 1 glu_L[m] + 1 3snpyr[m]	Methionine and cysteine metabolism	(2806)	2.6.1.1		MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain	PMID:3346220
3SPYRSP	3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)	1 h2o[c] + 1 3snpyr[c] --> 1 h[c] + 1 pyr[c] + 1 so3[c]	Methionine and cysteine metabolism		2.6.1.1		MM	PMID:3346220
3SPYRSPm	3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial	1 h2o[m] + 1 3snpyr[m] --> 1 h[m] + 1 pyr[m] + 1 so3[m]	Methionine and cysteine metabolism				MM	PMID:3346220
41R1H2MAE12BOOX	4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	1 h2o[c] + 1 o2[c] + 1 adrnl[c] --> 1 h2o2[c] + 1 34dhmald[c] + 1 mma[c]	Tyrosine metabolism	(4128) or (4129)	1.4.3.4		SAB	PMID:15035803,PMID:8920635,PMID:9653080
41R2A1H12BOOX	4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	1 h2o[c] + 1 o2[c] + 1 nrpphr[c] --> 1 h2o2[c] + 1 nh4[c] + 1 34dhmald[c]	Tyrosine metabolism	(4128) or (4129)	1.4.3.4	R02532	SAB	PMID:15035803,PMID:8920635,PMID:9653080
42A12BOOX	4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	1 h2o[c] + 1 o2[c] + 1 dopa[c] --> 1 h2o2[c] + 1 nh4[c] + 1 34dhpac[c]	Tyrosine metabolism	(26) or (314) or (4128) or (4129) or (8639)	1.4.3.6	R04300	SAB	PMID:15035803,PMID:8920635,PMID:9653080
4ABUTtm	4-Aminobutanoate Mitochondrial Transport via Diffusion	1 4abut[c] <=> 1 4abut[m]	Transport, mitochondrial				NCD	PMID:10407778
4HBZCOAFm	4-Hydroxybenzoyl Coenzyme A Formation	1 h2o[m] + 1 nad[m] + 1 coa[m] + 1 coucoa[m] --> 1 h[m] + 1 nadh[m] + 1 4hbzcoa[m] + 1 accoa[m]	Ubiquinone synthesis			R08767	IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.	PMID:11583838,PMID:12232327
4HBZFm	4-Hydroxybenzoate Formation	1 h2o[m] + 1 4hbzcoa[m] --> 1 h[m] + 1 coa[m] + 1 4hbz[m]	Ubiquinone synthesis			R01301	IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.	PMID:11583838,PMID:12232327
4HDEBRISOQUINEte	Transport of Xenobiotic	1 4hdebrisoquine[e] <=> 1 4hdebrisoquine[c]	Transport, extracellular				unknown mechanism, related cyp P450 metabolism reactions NJ	
4HGLSDm	L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial	1 h2o[m] + 1 nad[m] + 1 4hglusa[m] --> 2 h[m] + 1 nadh[m] + 1 e4hglu[m]	Arginine and proline metabolism	(8659)	1.5.1.12	R05051	NCD	PMID:15849464
4HOXPACDOX_NADP_	4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase	1 h2o[c] + 1 nadp[c] + 1 4hoxpacd[c] <=> 2 h[c] + 1 nadph[c] + 1 4hphac[c]	Tyrosine metabolism	(218) or (220) or (221) or (222)	1.2.1.5		SAB	PMID:3753983
4MOPt2im	4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport	1 h[c] + 1 4mop[c] --> 1 h[m] + 1 4mop[m]	Transport, mitochondrial				MM	PMID:8428987
4MPTNLte	4-Methylpentanal Transport	1 4mptnl[c] <=> 1 4mptnl[e]	Transport, extracellular					PMID:8428987
4MPTNLtm	4-Methylpentanal Transport, Mitochondrial	1 4mptnl[c] <=> 1 4mptnl[m]	Transport, mitochondrial					PMID:8428987
4MPTNLtr	4-Methylpentanal Transport, Endoplasmatic Reticulum	1 4mptnl[c] <=> 1 4mptnl[r]	Transport, endoplasmic reticular					PMID:8428987
4MTOLBUTAMIDEte	Transport of Xenobiotic	1 4mtolbutamide[e] <=> 1 4mtolbutamide[c]	Transport, extracellular				unknown mechanism, related cyp P450 metabolism reactions NJ	
4NPHSFte	Transport of Xenobiotic	1 4nphsf[e] <=> 1 4nphsf[c]	Transport, extracellular				unknown mechanism, related cyp P450 metabolism reactions NJ. Biochemical, Rat	PMID:9344226
4NPHSULT	4-Nitrophenol Sulfotransferase	1 paps[c] + 1 4nph[c] --> 1 h[c] + 1 pap[c] + 1 4nphsf[c]	Cytochrome metabolism	(6799) or (6817) or (6818)	2.8.2.1		RS/TV (6/14/05)	PMID:11535246,PMID:15293241
4NPHte	Transport of Xenobiotic	1 4nph[e] <=> 1 4nph[c]	Transport, extracellular				unknown mechanism, related cyp P450 metabolism reactions NJ. Physiological, Rat	PMID:8385949,PMID:9219629
4PYRDX	4-Pyridoxal Secretion	1 h2o[c] + 1 atp[c] + 1 4pyrdx[c] --> 1 h[c] + 1 adp[c] + 1 pi[c] + 1 4pyrdx[e]	Transport, extracellular				IT Reaction correct??? (active transport)	PMID:6380540
5ADTSTSTERONEGLCte	Glucuronidated Compound Transport	1 h2o[c] + 1 atp[c] + 1 5adtststeroneglc[c] --> 1 h[c] + 1 adp[c] + 1 pi[c] + 1 5adtststeroneglc[e]	Transport, extracellular	(4363)			presumed MDR transporter NJ. Physiological	
5ADTSTSTERONEGLCtr	Glucuronidated Compound Transport	1 5adtststeroneglc[c] <=> 1 5adtststeroneglc[r]	Transport, endoplasmic reticular				unknown mechanism, however glucuronidated metabolites need to get out of the cell NJ	
5ADTSTSTERONESte	Sulfonated Testosterone Transport	1 5adtststerones[c] <=> 1 5adtststerones[e]	Transport, extracellular				unknown mechanism - presumed excretion of sulfonated testosterone NJ	
5ADTSTSTERONESULT	5Alpha-Dihydrotestosterone Sulfotransferase	1 paps[c] + 1 5adtststerone[c] --> 1 h[c] + 1 pap[c] + 1 5adtststerones[c]	Steroid metabolism	(6818) or (6822)	2.8.2.2		NJ	PMID:1588921,PMID:16399349
5ADTSTSTERONEte	5 Alpha Dihydrotesterone Transport	1 5adtststerone[e] <=> 1 5adtststerone[c]	Transport, extracellular				specific mechanism not known, proton dependence for trans-mit transport has been suggested, however directionality and stoichiometry has not yet been elucidated. see PMID: 12770731 and others NJ	
