METID	NAME	FORMULA	CHARGE	CHEBI	KEGG	PUBCHEM	HMDB	INCHI STRING	SMILE
10fthf[l]	10-Formyltetrahydrofolate	C20H21N7O7	-2	15637	C00234	122347		InChI=1/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/s2	[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H]
10fthf[m]	10-Formyltetrahydrofolate	C20H21N7O7	-2	15637	C00234	122347		InChI=1/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/s2	[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H]
11docrtsl[c]	11-Deoxycortisol	C21H30O4	0	28324	C05488	53477676	HMDB00015	InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1	[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
11docrtsl[m]	11-Deoxycortisol	C21H30O4	0	28324	C05488	53477676	HMDB00015	InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1	[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
11docrtsl[r]	11-Deoxycortisol	C21H30O4	0	28324	C05488	53477676	HMDB00015	InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1	[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
11docrtstrn[c]	11-Deoxycorticosterone	C21H30O3	0	16973	C03205	6166		InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1	[H]OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
11docrtstrn[m]	11-Deoxycorticosterone	C21H30O3	0	16973	C03205	6166		InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1	[H]OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
11docrtstrn[r]	11-Deoxycorticosterone	C21H30O3	0	16973	C03205	6166		InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1	[H]OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
13dampp[c]	Trimethylenediaminium	C3H12N2	2	15725	C00986	428	HMDB00002	InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2	[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
h2o[c]	Water	H2O	0	15377	C00001	962	HMDB02111	InChI=1S/H2O/h1H2	[H]O[H]
o2[c]	Oxygen	O2	0	15379	C00007	977	HMDB01377	InChI=1S/O2/c1-2	O=O
bamppald[c]	Beta-Aminopropion Aldehyde	C3H8NO	1	58374	C05665	75		InChI=1S/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2/p+1	[H]C(=O)C([H])([H])C([H])([H])[N+]([H])([H])[H]
h2o2[c]	Hydrogen Peroxide	H2O2	0	16240	C00027	784	HMDB03125	InChI=1S/H2O2/c1-2/h1-2H	[H]OO[H]
nh4[c]	Ammonium	H4N	1	16134	C00014	222	HMDB00051	InChI=1S/H3N/h1H3/p+1	[H][N+]([H])([H])[H]
h2o[m]	Water	H2O	0	15377	C00001	962	HMDB02111	InChI=1S/H2O/h1H2	[H]O[H]
o2[m]	Oxygen	O2	0	15379	C00007	977	HMDB01377	InChI=1S/O2/c1-2	O=O
2425dhvitd2[m]	24R,25-Dihyoxyvitamin D2	C28H44O3	0					InChI=1/C28H44O3/c1-19-9-12-23(29)18-22(19)11-10-21-8-7-16-27(5)24(13-14-25(21)27)20(2)15-17-28(6,31)26(3,4)30/h10-11,15,17,20,23-25,29-31H,1,7-9,12-14,16,18H2,2-6H3/b17-15+,21-10+,22-11-	[H]OC1([H])C([H])([H])\C(=C(/[H])\C(\[H])=C2/C([H])([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C3([H])C([H])(C(\[H])=C(/[H])C(O[H])(C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C(=C([H])[H])C([H])([H])C1([H])[H]
h[m]	Proton	H	1	24636	C00080	1038		InChI=1S/p+1	[H+]
nadph[m]	Nicotinamide Adenine Dinucleotide Phosphate - Reduced	C21H26N7O17P3	-4	16474	C00005	22833512	HMDB00221	InChI=1/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/s2	[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]2([H])O[C@@]([H])(N3C([H])=NC4=C(N=C([H])N=C34)N([H])[H])[C@]([H])(OP([O-])([O-])=O)[C@]2([H])O[H])[C@@]1([H])O[H])N1C([H])=C([H])C([H])([H])C(=C1[H])C(=O)N([H])[H]
1a2425thvitd2[m]	1-Alpha,24R,25-Trihydroxyvitamin D2	C28H44O4	0			9547253	HMDB06227	InChI=1S/C28H44O4/c1-18(13-15-28(6,32)26(3,4)31)23-11-12-24-20(8-7-14-27(23,24)5)9-10-21-16-22(29)17-25(30)19(21)2/h9-10,13,15,18,22-25,29-32H,2,7-8,11-12,14,16-17H2,1,3-6H3/b15-13+,20-9+,21-10-/t18-,22-,23-,24+,25+,27-,28-/m1/s1	[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(C(\[H])=C(/[H])[C@](O[H])(C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H]
nadp[m]	Nicotinamide Adenine Dinucleotide Phosphate	C21H25N7O17P3	-3	18009	C00006	5886	HMDB00217	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p-3/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])[N+]1=C([H])C(=C([H])C([H])=C1[H])C(=O)N([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(OP([O-])([O-])=O)[C@]1([H])O[H]
2425dhvitd3[m]	(24R)-24,25-Dihydroxycalciol	C27H44O3	0	28818	C07712			InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1	[H]O[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])\C(=C(/[H])\C(\[H])=C3/C(=C([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H]
1a2425thvitd3[m]	Calcitetrol	C27H44O4	0		C18231			InChI=1S/C27H44O4/c1-17(8-13-25(30)26(3,4)31)22-11-12-23-19(7-6-14-27(22,23)5)9-10-20-15-21(28)16-24(29)18(20)2/h9-10,17,21-25,28-31H,2,6-8,11-16H2,1,3-5H3/b19-9+,20-10-/t17-,21-,22-,23+,24+,25-,27-/m1/s1	[H]O[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])\C(=C(/[H])\C(\[H])=C3/C(=C([H])[H])[C@@]([H])(O[H])C([H])([H])[C@]([H])(O[H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H]
1a25dhvitd2[m]	1-Alpha,25-Dihydroxyvitamin D2	C28H44O3	0			9547243	HMDB06225	InChI=1S/C28H44O3/c1-18(9-10-19(2)27(4,5)31)24-13-14-25-21(8-7-15-28(24,25)6)11-12-22-16-23(29)17-26(30)20(22)3/h9-12,18-19,23-26,29-31H,3,7-8,13-17H2,1-2,4-6H3/b10-9+,21-11+,22-12-/t18-,19+,23-,24-,25+,26+,28-/m1/s1	[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(C(\[H])=C(/[H])[C@]([H])(C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H]
1a25dhvitd3[m]	Calcitriol	C27H44O3	0	17823	C01673	5280453	HMDB01903	InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1	[H]O[C@]1([H])C(=C([H])[H])\C(=C(\[H])/C(/[H])=C2\C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H]
h[c]	Proton	H	1	24636	C00080	1038		InChI=1S/p+1	[H+]
1mncam[c]	1-Methylnicotinamide	C7H9N2O	1	16797	C02918	457	HMDB00699	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1	[H]N([H])C(=O)C1=C([H])[N+](=C([H])C([H])=C1[H])C([H])([H])[H]
1mncam[e]	1-Methylnicotinamide	C7H9N2O	1	16797	C02918	457	HMDB00699	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1	[H]N([H])C(=O)C1=C([H])[N+](=C([H])C([H])=C1[H])C([H])([H])[H]
atp[c]	Adenosine Triphosphate	C10H12N5O13P3	-4	15422	C00002	5957	HMDB00538	InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/p-4/t4-,6-,7-,10-/m1/s1	[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@]1([H])O[H])N1C([H])=NC2=C(N=C([H])N=C12)N([H])[H]
