GENEID	SYMBOL
11213	IRAK3
11219	TREX2
11221	DUSP10
11226	GALNT6
11227	GALNT5
11232	POLG2
11236	RNF139
11238	CA5B
11240	PADI2
112476	PRRT2
112483	SAT2
11253	MAN1B1
11254	SLC6A14
112611	RWDD2A
11266	DUSP12
112724	RDH13
11274	USP18
11277	TREX1
11282	MGAT4B
11283	CYP4F8
11284	PNKP
11285	B4GALT7
112858	TP53RK
113	ADCY7
113026	PLCD3
11309	SLCO2B1
11313	LYPLA2
11316	COPE
113189	CHST14
11320	MGAT4A
113235	SLC46A1
113278	SLC52A3
11328	FKBP9
11329	STK38
11332	ACOT7
11342	RNF13
11343	MGLL
113451	AZIN2
113612	CYP2U1
113675	SDSL
114	ADCY8
114112	TXNRD3
114134	SLC2A13
114571	SLC22A9
1147	CHUK
114770	PGLYRP2
114771	PGLYRP3
114783	LMTK3
114805	GALNT13
1149	CIDEA
114971	PTPMT1
115	ADCY9
115019	SLC26A9
115111	SLC26A7
115123	MARCH3
1152	CKB
115286	SLC25A26
115426	UHRF2
1155	TBCB
115584	SLC5A11
1158	CKM
1159	CKMT1B
1160	CKMT2
116085	SLC22A12
116179	TGM7
116255	MOGAT1
116285	ACSM1
116369	SLC26A8
116519	APOA5
116969	ART5
117247	SLC16A10
117248	GALNT15
117283	IP6K3
1178	CLC
118424	UBE2J2
118881	COMTD1
119391	GSTO2
1195	CLK1
119548	PNLIPRP3
1196	CLK2
1198	CLK3
12	SERPINA3
1200	TPP1
120103	SLC36A4
1208	CLPS
120892	LRRK2
121214	SDR9C7
121260	SLC15A4
121278	TPH2
1215	CMA1
122011	CSNK1A1L
122481	AK7
122618	PLD4
122622	ADSSL1
122970	ACOT4
123	PLIN2
123041	SLC24A4
123096	SLC25A29
123099	DEGS2
123263	MTFMT
123264	SLC51B
123283	TARSL2
123688	HYKK
123745	PLA2G4E
123803	NTAN1
123876	ACSM2A
124	ADH1A
1244	ABCC2
124454	EARS2
124583	CANT1
124637	CYB5D1
124739	USP43
124872	B4GALNT2
124935	SLC43A2
124975	GGT6
125	ADH1B
125061	AFMID
125206	SLC5A10
125965	COX6B2
125981	ACER1
126	ADH1C
126129	CPT1C
1263	PLK3
126328	NDUFA11
126410	CYP4F22
1267	CNP
126792	B3GALT6
127	ADH4
127124	ATP6V1G3
127544	RNF19B
127933	UHMK1
128	ADH5
128486	FITM2
128853	DUSP15
128869	PIGU
129607	CMPK2
129642	MBOAT2
129807	NEU4
13	AADAC
130	ADH6
130013	ACMSD
130367	SGPP2
130399	ACVR1C
130507	UBR3
130589	GALM
130752	MDH1B
131	ADH7
1312	COMT
1314	COPA
1315	COPB1
131669	UROC1
1317	SLC31A1
131890	GRK7
132	ADK
132158	GLYCTK
132160	PPM1M
1326	MAP3K8
1327	COX4I1
132789	GNPDA2
1329	COX5B
132949	AASDH
133121	ENPP6
133688	UGT3A1
1337	COX6A1
1339	COX6A2
1340	COX6B1
134111	UBE2QL1
1345	COX6C
134510	UBLCP1
134526	ACOT12
1346	COX7A1
1347	COX7A2
1349	COX7B
1350	COX7C
1351	COX8A
135152	B3GAT2
1356	CP
1357	CPA1
1358	CPA2
1371	CPOX
1373	CPS1
1374	CPT1A
1375	CPT1B
1376	CPT2
137872	ADHFE1
137902	PXDNL
137964	GPAT4
1384	CRAT
138428	PTRH1
138429	PIP5KL1
138639	PTPDC1
1387	CREBBP
139596	UPRT
139728	PNCK
140469	MYO3B
140609	NEK7
140679	SLC32A1
140687	GCNT7
140733	MACROD2
140739	UBE2F
140803	TRPM6
140838	NANP
140901	STK35
141	ADPRH
142	PARP1
142678	MIB2
142679	DUSP19
142680	SLC34A3
143	PARP4
1431	CS
143162	FRMPD2
1432	MAPK14
143279	HECTD2
1436	CSF1R
144193	AMDHD1
144195	SLC2A14
1445	CSK
145173	B3GLCT
1452	CSNK1A1
145226	RDH12
1453	CSNK1D
1454	CSNK1E
1455	CSNK1G2
145553	MDP1
1456	CSNK1G3
1457	CSNK2A1
1459	CSNK2A2
1460	CSNK2B
146664	MGAT5B
146712	B3GNTL1
1468	SLC25A10
146802	SLC47A2
148581	UBE2U
1487	CTBP1
148789	B3GALNT2
148867	SLC30A7
1490	CTGF
1491	CTH
149603	RNF187
15	AANAT
150290	DUSP18
1503	CTPS1
150465	TTL
150763	GPAT2
1508	CTSB
1509	CTSD
1510	CTSE
151056	PLB1
1511	CTSG
151112	ZSWIM2
1512	CTSH
1513	CTSK
1514	CTSL
1515	CTSV
151531	UPP2
1519	CTSO
1520	CTSS
1521	CTSW
1522	CTSZ
152586	MGAT4D
152926	PPM1K
153201	SLC36A2
1536	CYBB
1537	CYC1
153769	SH3RF2
1540	CYLD
154091	SLC2A12
154141	MBOAT1
154214	RNF217
1543	CYP1A1
1544	CYP1A2
1545	CYP1B1
1548	CYP2A6
1549	CYP2A7
1551	CYP3A7
155184	SLC2A7
1553	CYP2A13
1555	CYP2B6
1557	CYP2C19
1558	CYP2C8
1559	CYP2C9
156	GRK2
1562	CYP2C18
1565	CYP2D6
157	GRK3
1571	CYP2E1
1572	CYP2F1
157285	PRAG1
1573	CYP2J2
157506	RDH10
1576	CYP3A4
1577	CYP3A5
1579	CYP4A11
158	ADSL
1580	CYP4B1
1581	CYP7A1
158160	HSD17B7P2
1582	CYP8B1
1583	CYP11A1
1584	CYP11B1
1585	CYP11B2
158506	CBLL2
158584	FAAH2
1586	CYP17A1
1588	CYP19A1
158833	AWAT1
158835	AWAT2
158880	USP51
1589	CYP21A2
159	ADSS
1591	CYP24A1
1592	CYP26A1
1593	CYP27A1
1594	CYP27B1
1595	CYP51A1
159963	SLC5A12
16	AARS
160287	LDHAL6A
1603	DAD1
160428	ALDH1L2
1606	DGKA
1607	DGKB
160728	SLC5A8
1608	DGKG
160851	DGKH
1609	DGKQ
1610	DAO
1612	DAPK1
161247	FITM1
1613	DAPK3
1615	DARS
1621	DBH
1622	DBI
162333	MARCH10
162417	NAGS
162466	PHOSPHO1
1629	DBT
1632	ECI1
1633	DCK
163404	PLPPR5
1635	DCTD
1636	ACE
1638	DCT
1644	DDC
1645	AKR1C1
1646	AKR1C2
1650	DDOST
165631	PARP15
166012	CHST13
1666	DECR1
166614	DCLK2
166785	MMAA
166929	SGMS2
167127	UGT3A2
167153	TENT2
168391	GALNTL5
168433	RNF133
169355	IDO2
170384	FUT11
170685	NUDT10
170712	COX7B2
171425	CLYBL
1716	DGUOK
1717	DHCR7
1718	DHCR24
1719	DHFR
1723	DHODH
1727	CYB5R3
1728	NQO1
1733	DIO1
1734	DIO2
1735	DIO3
1737	DLAT
1738	DLD
1743	DLST
175	AGA
1757	SARDH
1760	DMPK
178	AGL
1786	DNMT1
1787	TRDMT1
1788	DNMT3A
1789	DNMT3B
1798	DPAGT1
18	ABAT
1800	DPEP1
1806	DPYD
1807	DPYS
1808	DPYSL2
1809	DPYSL3
1811	SLC26A3
183	AGT
1836	SLC26A2
1841	DTYMK
1843	DUSP1
1844	DUSP2
1845	DUSP3
1846	DUSP4
1847	DUSP5
1848	DUSP6
1849	DUSP7
1850	DUSP8
1852	DUSP9
1854	DUT
1859	DYRK1A
189	AGXT
1890	TYMP
1891	ECH1
1892	ECHS1
19	ABCA1
191	AHCY
192111	PGAM5
192134	B3GNT6
192286	HIGD2A
1956	EGFR
195814	SDR16C5
196051	PLPP4
1962	EHHADH
196743	PAOX
196883	ADCY4
1969	EPHA2
197131	UBR1
197257	LDHD
197258	FUK
197259	MLKL
197322	ACSF3
199857	ALG14
199974	CYP4Z1
200010	SLC5A9
200576	PIKFYVE
200810	ALG1L
200931	SLC51A
2011	MARK2
201164	PLD6
201288	NOS2P2
201562	HACD2
201595	STT3B
2023	ENO1
202374	STK32A
2026	ENO2
2027	ENO3
203	AK1
2030	SLC29A1
2033	EP300
203611	CDY2B
204	AK2
2041	EPHA1
2042	EPHA3
204219	CERS3
2043	EPHA4
2044	EPHA5
2045	EPHA7
2046	EPHA8
2047	EPHB1
2048	EPHB2
204851	HIPK1
2049	EPHB3
205	AK4
2050	EPHB4
2051	EPHB6
2052	EPHX1
2053	EPHX2
2058	EPRS
206358	SLC36A1
2064	ERBB2
2065	ERBB3
2066	ERBB4
207	AKT1
2070	EYA4
208	AKT2
2081	ERN1
2098	ESD
21	ABCA3
210	ALAD
2108	ETFA
2109	ETFB
211	ALAS1
2110	ETFDH
212	ALAS2
213	ALB
2131	EXT1
2132	EXT2
2134	EXTL1
2135	EXTL2
2137	EXTL3
2138	EYA1
2139	EYA2
2140	EYA3
2145	EZH1
2146	EZH2
2147	F2
215	ABCD1
216	ALDH1A1
2162	F13A1
2165	F13B
2166	FAAH
2167	FABP4
2168	FABP1
2169	FABP2
217	ALDH2
2170	FABP3
2171	FABP5
2172	FABP6
2173	FABP7
218	ALDH3A1
2180	ACSL1
2181	ACSL3
2182	ACSL4
2184	FAH
2185	PTK2B
219	ALDH1B1
2193	FARSA
219333	USP12
2194	FASN
220	ALDH1A3
220074	LRTOMT
2203	FBP1
220441	RNF152
220972	MARCH8
221	ALDH3B1
221223	CES5A
221357	GSTA5
221443	OARD1
221687	RNF182
221823	PRPS1L1
221955	DAGLB
222	ALDH3B2
2222	FDFT1
2224	FDPS
222537	HS3ST5
222962	SLC29A4
223	ALDH9A1
223082	ZNRF2
2232	FDXR
2235	FECH
224	ALDH3A2
2241	FER
2242	FES
2243	FGA
225	ABCD2
225689	MAPK15
226	ALDOA
2260	FGFR1
2261	FGFR3
2263	FGFR2
2264	FGFR4
2268	FGR
2271	FH
2272	FHIT
2274	FHL2
2280	FKBP1A
2281	FKBP1B
22820	COPG1
22843	PPM1E
22848	AAK1
22853	LMTK2
22856	CHSY1
22858	ICK
2286	FKBP2
2287	FKBP3
22876	INPP5F
2288	FKBP4
2289	FKBP5
229	ALDOB
22908	SACM1L
22928	SEPHS2
22929	SEPHS1
22933	SIRT2
22934	RPIA
22949	PTGR1
22954	TRIM32
22977	AKR7A3
22978	NT5C2
22983	MAST1
230	ALDOC
23007	PLCH1
23012	STK38L
23031	MAST3
23032	USP33
23035	PHLPP2
23039	XPO7
23043	TNIK
23049	SMG1
23054	NCOA6
23057	NMNAT2
23067	SETD1B
23070	CMTR1
23072	HECW1
23077	MYCBP2
23097	CDK19
231	AKR1B1
23127	COLGALT2
23139	MAST2
23169	SLC35D1
23175	LPIN1
23178	PASK
23179	RGL1
23203	PMPCA
23205	ACSBG1
2321	FLT1
23214	XPO6
2322	FLT3
23228	PLCL2
23235	SIK2
23236	PLCB1
23239	PHLPP1
2324	FLT4
23250	ATP11A
2326	FMO1
23262	PPIP5K2
2327	FMO2
2328	FMO3
2329	FMO4
23295	MGRN1
2330	FMO5
23304	UBR2
23305	ACSL6
23309	SIN3B
23315	SLC9A8
23318	TUT4
23326	USP22
23327	NEDD4L
23352	UBR4
23358	USP24
23363	OBSL1
23371	TNS2
23382	AHCYL2
23387	SIK3
2339	FNTA
23395	LARS2
23396	PIP5K1C
23398	PPWD1
23408	SIRT5
23410	SIRT3
23411	SIRT1
23417	MLYCD
2342	FNTB
23428	SLC7A8
23430	TPSD1
23438	HARS2
23439	ATP1B4
23443	SLC35A3
23463	ICMT
23464	GCAT
23475	QPRT
23478	SEC11A
2348	FOLR1
23483	TGDS
23491	CES3
23498	HAAO
2350	FOLR2
2352	FOLR3
23522	KAT6B
23529	CLCF1
23530	NNT
23533	PIK3R5
23539	SLC16A8
23545	ATP6V0A2
23552	CDK20
23556	PIGN
2356	FPGS
23563	CHST5
23564	DDAH2
23569	PADI4
23576	DDAH1
23600	AMACR
23604	DAPK2
23608	MKRN1
23609	MKRN2
23617	TSSK2
23624	CBLC
23632	CA14
23633	KPNA6
23646	PLD3
23649	POLA2
23657	SLC7A11
23659	PLA2G15
23678	SGK3
23683	PRKD3
23729	SHPK
23743	BHMT2
23759	PPIL2
23761	PISD
23770	FKBP8
238	ALK
239	ALOX12
24	ABCA4
240	ALOX5
242	ALOX12B
2444	FRK
245972	ATP6V0D2
245973	ATP6V1C2
246	ALOX15
246213	SLC17A8
247	ALOX15B
248	ALPI
249	ALPL
25	ABL1
250	ALPP
251	ALPG
2517	FUCA1
2519	FUCA2
2523	FUT1
2524	FUT2
2525	FUT3
2526	FUT4
2527	FUT5
2528	FUT6
2529	FUT7
2530	FUT8
253017	TECRL
2531	KDSR
253175	CDY1B
2534	FYN
253430	IPMK
253558	LCLAT1
253782	CERS6
2538	G6PC
2539	G6PD
254173	TTLL10
2542	SLC37A4
254428	SLC41A1
254531	LPCAT4
2548	GAA
255189	PLA2G4F
255488	RNF144B
256435	ST6GALNAC3
257068	PLCXD2
2571	GAD1
2572	GAD2
257202	GPX6
257218	SHPRH
25769	SLC24A2
25778	DSTYK
25796	PGLS
25797	QPCT
2580	GAK
2581	GALC
2582	GALE
25828	TXN2
2583	B4GALNT1
25830	SULT4A1
25831	HECTD1
25834	MGAT4C
2584	GALK1
2585	GALK2
25862	USP49
25865	PRKD2
25874	MPC2
2588	GALNS
25885	POLR1A
2589	GALNT1
25897	RNF19A
25898	RCHY1
2590	GALNT2
25902	MTHFD1L
2591	GALNT3
2592	GALT
259230	SGMS1
2593	GAMT
25930	PTPN23
259307	IL4I1
25942	SIN3A
2595	GANC
2597	GAPDH
25973	PARS2
25976	TIPARP
25989	ULK3
26	AOC1
26001	RNF167
26002	MOXD1
26007	TKFC
26027	ACOT11
260293	CYP4X1
26035	GLCE
26061	HACL1
26062	HYALP1
26063	DECR2
26090	ABHD12
26091	HERC4
2617	GARS
2618	GART
26191	PTPN22
262	AMD1
26227	PHGDH
26229	B3GAT3
26230	TIAM2
26266	SLC13A4
26275	HIBCH
26279	PLA2G2D
2628	GATM
26289	AK5
2629	GBA
26290	GALNT8
26301	GBGT1
2632	GBE1
26330	GAPDHS
2638	GC
2639	GCDH
2643	GCH1
2645	GCK
26469	PTPN18
2648	KAT2A
2650	GCNT1
26503	SLC17A5
2651	GCNT2
26524	LATS2
2653	GCSH
26576	SRPK3
26580	BSCL2
266722	HS6ST3
266740	MAGEA2B
267	AMFR
267020	ATP5MGL
2673	GFPT1
26750	RPS6KC1
2678	GGT1
2679	GGT3P
2683	B4GALT1
2686	GGT7
2687	GGT5
26873	OPLAH
269	AMHR2
2694	GIF
26958	COPG2
27	ABL2
270	AMPD1
27005	USP21
27010	TPK1
27034	ACAD8
27035	NOX1
27063	ANKRD1
27068	PPA2
27087	B3GAT1
27089	UQCRQ
27090	ST6GALNAC4
271	AMPD2
2710	GK
27102	EIF2AK1
27109	ATP5S
27115	PDE7B
2712	GK2
27124	INPP5J
2713	GK3P
27148	STK36
27159	CHIA
27163	NAAA
27165	GLS2
2717	GLA
272	AMPD3
2720	GLB1
27232	GNMT
27233	SULT1C4
27235	COQ2
27242	TNFRSF21
27246	RNF115
27284	SULT1B1
2729	GCLC
27294	DHDH
2730	GCLM
27306	HPGDS
2731	GLDC
27330	RPS6KA6
27338	UBE2S
27339	PRPF19
27343	POLL
27347	STK39
27349	MCAT
2739	GLO1
27430	MAT2B
27434	POLM
2744	GLS
2745	GLRX
2746	GLUD1
2747	GLUD2
275	AMT
2752	GLUL
276	AMY1A
2760	GM2A
2762	GMDS
2766	GMPR
277	AMY1B
278	AMY1C
279	AMY2A
2799	GNS
28	ABO
280	AMY2B
2805	GOT1
2806	GOT2
2819	GPD1
2820	GPD2
2821	GPI
2822	GPLD1
28227	PPP2R3B
28231	SLCO4A1
28232	SLCO3A1
28234	SLCO1B3
282974	STK32C
283208	P4HA3
283209	PGM2L1
283358	B4GALNT3
283629	TSSK4
283748	PLA2G4D
283871	PGP
283985	FADS6
284004	HEXDC
284086	NEK8
284098	PIGW
284111	SLC13A5
284129	SLC26A11
284273	ZADH2
284656	EPHA10
284996	RNF149
285193	DUSP28
285220	EPHA6
285440	CYP4V2
285671	RNF180
285755	PPIL6
286016	TPI1P2
286297	LOC286297
286410	ATP11C
2872	MKNK2
2875	GPT
2876	GPX1
2877	GPX2
2878	GPX3
2879	GPX4
2880	GPX5
2882	GPX7
28965	SLC27A6
28972	SPCS1
28976	ACAD9
28982	FLVCR1
28992	MACROD1
28996	HIPK2
290	ANPEP
29072	SETD2
29082	CHMP4A
29085	PHPT1
29089	UBE2T
291	SLC25A4
29101	SSU72
29110	TBK1
29116	MYLIP
29124	LGALS13
29128	UHRF1
292	SLC25A5
2923	PDIA3
293	SLC25A6
2936	GSR
2937	GSS
2938	GSTA1
2939	GSTA2
2940	GSTA3
2941	GSTA4
2944	GSTM1
2946	GSTM2
2947	GSTM3
2948	GSTM4
2949	GSTM5
2950	GSTP1
2952	GSTT1
2953	GSTT2
2954	GSTZ1
2962	GTF2F1
2974	GUCY1B2
29761	USP25
2977	GUCY1A2
2978	GUCA1A
29785	CYP2S1
29796	UQCR10
2982	GUCY1A1
2983	GUCY1B1
2984	GUCY2C
29841	GRHL1
2986	GUCY2F
2987	GUK1
29880	ALG5
29881	NPC1L1
2990	GUSB
29906	ST8SIA5
2992	GYG1
29920	PYCR2
29922	NME7
29925	GMPPB
29926	GMPPA
29929	ALG6
29941	PKN3
29943	PADI1
29947	DNMT3L
29953	TRHDE
29954	POMT2
29956	CERS2
29958	DMGDH
29968	PSAT1
2997	GYS1
2998	GYS2
29988	SLC2A8
30	ACAA1
3000	GUCY2D
30061	SLC40A1
3028	HSD17B10
3029	HAGH
3030	HADHA
3032	HADHB
3033	HADH
3034	HAL
3035	HARS
3036	HAS1
3037	HAS2
3038	HAS3
3052	HCCS
3055	HCK
306	ANXA3
3067	HDC
3069	HDLBP
3073	HEXA
3074	HEXB
3081	HGD
30811	HUNK
30814	PLA2G2E
30815	ST6GALNAC6
30833	NT5C
30834	ZNRD1
30849	PIK3R4
3093	UBE2K
3098	HK1
3099	HK2
31	ACACA
3101	HK3
313	AOAH
314	AOC2
3141	HLCS
3145	HMBS
3155	HMGCL
3156	HMGCR
3157	HMGCS1
3158	HMGCS2
316	AOX1
3162	HMOX1
3163	HMOX2
3176	HNMT
3177	SLC29A2
318	NUDT2
32	ACACB
3242	HPD
3248	HPGD
3251	HPRT1
3283	HSD3B1
3284	HSD3B2
3290	HSD11B1
3291	HSD11B2
3292	HSD17B1
3293	HSD17B3
3294	HSD17B2
3295	HSD17B4
33	ACADL
3339	HSPG2
3340	NDST1
335	APOA1
336	APOA2
3376	IARS
337876	CHSY3
338	APOB
338328	GPIHBP1
338599	DUPD1
338707	B4GALNT4
339221	ENPP7
3396	MRPL58
34	ACADM
340024	SLC6A19
340156	MYLK4
340485	ACER2
340811	AKR1C8P
341	APOC1
341392	ACSM4
341676	NEK5
3417	IDH1
3418	IDH2
3419	IDH3A
341947	COX8C
3420	IDH3B
3421	IDH3G
3422	IDI1
3423	IDS
3425	IDUA
343	AQP8
343641	TGM6
344	APOC2
344387	CDKL4
344558	SH3RF3
344967	LOC344967
345	APOC3
345274	SLC10A6
346606	MOGAT3
347734	SLC35B2
348	APOE
3480	IGF1R
348158	ACSM2B
348932	SLC6A18
349565	NMNAT3
35	ACADS
353	APRT
353238	PADI6
353497	POLN
355	FAS
3551	IKBKB
358	AQP1
359	AQP2
36	ACADSB
360	AQP3
360132	FKBP9P1
360203	GLT6D1
361	AQP4
3611	ILK
3612	IMPA1
3613	IMPA2
3614	IMPDH1
3615	IMPDH2
362	AQP5
3620	IDO1
3628	INPP1
3631	INPP4A
3632	INPP5A
3633	INPP5B
3635	INPP5D
3636	INPPL1
364	AQP7
3640	INSL3
3643	INSR
3645	INSRR
3654	IRAK1
3656	IRAK2
3658	IREB2
366	AQP9
369	ARAF
37	ACADVL
3702	ITK
3703	STT3A
3704	ITPA
3705	ITPK1
3706	ITPKA
3707	ITPKB
3712	IVD
3716	JAK1
3717	JAK2
3718	JAK3
372	ARCN1
373156	GSTK1
3735	KARS
373856	USP41
374291	NDUFS7
374462	PTPRQ
374569	ASPG
374875	HSD11B1L
374907	B3GNT8
375056	MIA3
375449	MAST4
375775	PNPLA7
3764	KCNJ8
376497	SLC27A1
3767	KCNJ11
377630	USP17L2
377677	CA13
377841	ENTPD8
378884	NHLRC1
3791	KDR
3795	KHK
38	ACAT1
3815	KIT
383	ARG1
384	ARG2
386757	SLC6A10P
387775	SLC22A10
387787	LIPT2
387893	KMT5A
388228	SBK1
388714	FMO6P
389015	SLC9A4
3897	L1CAM
389840	MAP3K15
389898	UBE2NL
39	ACAT2
3906	LALBA
390928	ACP7
391013	PLA2G2C
391627	USP17L9P
3930	LBR
3931	LCAT
3932	LCK
3938	LCT
3939	LDHA
3945	LDHB
3948	LDHC
3949	LDLR
3984	LIMK1
3985	LIMK2
3988	LIPA
3990	LIPC
3991	LIPE
3992	FADS1
3995	FADS3
401494	HACD4
4015	LOX
4017	LOXL2
4023	LPL
4025	LPO
403313	PLPP6
4035	LRP1
4036	LRP2
4047	LSS
4048	LTA4H
4051	CYP4F3
4056	LTC4S
4058	LTK
4067	LYN
410	ARSA
411	ARSB
4117	MAK
412	STS
4121	MAN1A1
4122	MAN2A2
4123	MAN2C1
4124	MAN2A1
4125	MAN2B1
4126	MANBA
4128	MAOA
4129	MAOB
4139	MARK1
4140	MARK3
4141	MARS
4143	MAT1A
4144	MAT2A
4145	MATK
415116	PIM3
4166	CHST6
417	ART1
419	ART3
4190	MDH1
4191	MDH2
4193	MDM2
4199	ME1
420	ART4
4200	ME2
4214	MAP3K1
4215	MAP3K3
4216	MAP3K4
4217	MAP3K5
4233	MET
4234	METTL1
4245	MGAT1
4247	MGAT2
4248	MGAT3
4249	MGAT5
4255	MGMT
4257	MGST1
4258	MGST2
4259	MGST3
427	ASAH1
4281	MID1
4282	MIF
4284	MIP
4293	MAP3K9
4294	MAP3K10
4296	MAP3K11
4297	KMT2A
43	ACHE
4329	ALDH6A1
4337	MOCS1
4338	MOCS2
4342	MOS
435	ASL
4351	MPI
4353	MPO
4357	MPST
4363	ABCC1
438	ASMT
440	ASNS
440138	ALG11
440275	EIF2AK4
441024	MTHFD2L
441061	MARCH11
441282	AKR1B15
443	ASPA
444	ASPH
445	ASS1
4482	MSRA
4486	MST1R
4507	MTAP
4512	COX1
4513	COX2
4514	COX3
4519	CYTB
4522	MTHFD1
4524	MTHFR
4535	ND1
4536	ND2
4537	ND3
4538	ND4
4539	ND4L
4540	ND5
4541	ND6
4547	MTTP
4548	MTR
4552	MTRR
4593	MUSK
4594	MUT
4597	MVD
4598	MVK
4638	MYLK
4645	MYO5B
4668	NAGA
4669	NAGLU
4677	NARS
4694	NDUFA1
4695	NDUFA2
4696	NDUFA3
4697	NDUFA4
4698	NDUFA5
47	ACLY
4700	NDUFA6
4701	NDUFA7
4702	NDUFA8
4704	NDUFA9
4705	NDUFA10
4706	NDUFAB1
4707	NDUFB1
4708	NDUFB2
4709	NDUFB3
471	ATIC
4710	NDUFB4
4711	NDUFB5
4712	NDUFB6
4713	NDUFB7
4714	NDUFB8
4715	NDUFB9
4716	NDUFB10
4717	NDUFC1
4718	NDUFC2
4719	NDUFS1
472	ATM
4720	NDUFS2
4722	NDUFS3
4723	NDUFV1
4724	NDUFS4
4725	NDUFS5
4726	NDUFS6
4728	NDUFS8
4729	NDUFV2
4731	NDUFV3
4734	NEDD4
4750	NEK1
4751	NEK2
4752	NEK3
4758	NEU1
4759	NEU2
476	ATP1A1
477	ATP1A2
478	ATP1A3
48	ACO1
480	ATP1A4
481	ATP1B1
482	ATP1B2
4820	NKTR
483	ATP1B3
4830	NME1
4831	NME2
4832	NME3
4833	NME4
4835	NQO2
4836	NMT1
4837	NNMT
4842	NOS1
4843	NOS2
4846	NOS3
4850	CNOT4
4860	PNP
4862	NPAS2
4864	NPC1
4881	NPR1
4882	NPR2
4891	SLC11A2
4899	NRF1
490	ATP2B1
4905	NSF
4907	NT5E
491	ATP2B2
4914	NTRK1
4915	NTRK2
